序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,马克思主义/思想政治教育,兰州理工大学,规划基金项目,“微时代”高校社会主义核心价值观教育的方式方法创新研究,张军成,2015
2,马克思主义/思想政治教育,南宁职业技术学院,规划基金项目,基于“多维一体”的民族地区高校思政课教学模式研究,张晓荒,2015
3,马克思主义/思想政治教育,云南财经大学,规划基金项目,低俗文化对青少年社会主义核心价值观教育的影响及对策研究,刘维兰,2015
4,马克思主义/思想政治教育,百色学院,青年基金项目,广西左右江少数民族聚居地区培育和践行社会主义核心价值观研究,张艳敏,2015
5,马克思主义/思想政治教育,桂林理工大学,青年基金项目,基于“结构观察”的高校辅导员职业角色和职业能力培养模型研究,周章明,2015
6,马克思主义/思想政治教育,西安财经学院,青年基金项目,毛泽东反对官僚主义思想和实践研究,冯笑,2015
7,马克思主义/思想政治教育,西安工业大学,青年基金项目,电竞游戏育人价值的生成机理与实现路径研究,赵东,2015
8,马克思主义/思想政治教育,西南大学,青年基金项目,社会思潮的网络传播与大学生社会主义核心价值观培育研究,易鹏,2015
9,马克思主义/思想政治教育,重庆交通大学,青年基金项目,新常态下大学生就业创业思想引导研究,朱辉荣,2015
10,马克思主义/思想政治教育,重庆科技学院,青年基金项目,中国梦融入高校思想政治教育体系的理论价值与实践机制研究,包翠秋,2015
11,哲学,延安大学,青年基金项目,修德化俗——刘元卿生平与思想研究,魏志远,2015
12,宗教学,西北师范大学,规划基金项目,敦煌讲唱文学与佛典的世俗化,秦丙坤,2015
13,语言学,云南师范大学,规划基金项目,边疆民族地区多元文化视野下的英语教学创新研究,侯云洁,2015
14,语言学,贵州民族大学,青年基金项目,不同母语背景的在华留学生汉语量词习得比较研究,张广勇,2015
15,语言学,贵州师范大学,青年基金项目,贵州苗族大学生多元语言能力发展研究,刘杨,2015
16,语言学,内蒙古科技大学,青年基金项目,跨文化交际角度下的西部地区蒙古族大学生英语语用能力教学研究,任梅,2015
17,语言学,陕西师范大学,青年基金项目,基于字料库的《慧琳音义》文字整理与研究,孙建伟,2015
18,语言学,四川外国语大学,青年基金项目,纳西东巴文非单字结构及其历时演变研究,李静,2015
19,中国文学,红河学院,规划基金项目,哈尼族原始宗教信仰对民间文学影响研究,钱叶春,2015
20,中国文学,曲靖师范学院,规划基金项目,后现代背景下中国少数民族文学研究的基本状态与价值,张永刚,2015
21,中国文学,天水师范学院,规划基金项目,中国现代诗歌内形式研究,薛世昌,2015
22,中国文学,西北大学,规划基金项目,唐代吴郡陆氏家族与文学研究,高淑君,2015
23,中国文学,电子科技大学,青年基金项目,英语学界中国文学史的历时研究,蒋柳,2015
24,中国文学,贵州大学,青年基金项目,臧懋循研究,刘凤霞,2015
25,中国文学,兰州文理学院,青年基金项目,先秦人物品评研究,孙董霞,2015
26,中国文学,兰州文理学院,青年基金项目,《古今名剧合选》研究,金艳霞,2015
27,中国文学,西安石油大学,青年基金项目,民国时期的“边疆文学”表述研究,郭明军,2015
28,中国文学,西南大学,青年基金项目,八旗诗歌史研究,李杨,2015
29,中国文学,云南财经大学,青年基金项目,贵州诗文总集与贵州区域文学史的建构,李美芳,2015
30,中国文学,重庆师范大学,青年基金项目,20世纪汉赋研究史论,杨海霞,2015
31,外国文学,西北大学,规划基金项目,约翰.弥尔顿诗文研究,陈敬玺,2015
32,外国文学,西北师范大学,规划基金项目,维多利亚小说中的空间想象与女性主体的建构,蒋贤萍,2015
33,外国文学,西华师范大学,青年基金项目,东亚视域下的侠文化研究,吴双,2015
34,艺术学,桂林电子科技大学,规划基金项目,广西少数民族文化城市家具系统研究,黄江文,2015
35,艺术学,四川师范大学,规划基金项目,藏羌织绣手工艺本土化与现代性活态方式研究,钟玮,2015
36,艺术学,重庆文理学院,规划基金项目,巴渝历史文化名村的景观语境变迁与设计研究,吴彪,2015
37,艺术学,北方民族大学,青年基金项目,宁夏伊斯兰教建筑艺术研究,曾明,2015
38,艺术学,大理学院,青年基金项目,民间音乐文化系统建构研究中的口述文本关照——以大理白族三弦为例,谭智,2015
39,艺术学,红河学院,青年基金项目,滇东南少数民族题材绘画创作与研究,马贵中,2015
40,艺术学,铜仁学院,青年基金项目,贵州苗族手工艺在产品设计中的传承与应用研究,张思华,2015
41,艺术学,西南民族大学,青年基金项目,彝族舞蹈对外译介研究,李野,2015
42,艺术学,玉林师范学院,青年基金项目,广西方言对声乐演唱语音的影响及解决路径研究——以境内汉语方言为研究对象,杨柳,2015
43,艺术学,重庆邮电大学,青年基金项目,实体交互界面在公共环境艺术中的应用研究,徐聪,2015
44,历史学,四川音乐学院,规划基金项目,局限、缓慢、单一：1884-1949新疆城市发展研究,付娟,2015
45,历史学,赤峰学院,青年基金项目,民国时期东蒙古垦务资料调查整理与研究,季静,2015
46,历史学,内蒙古民族大学,青年基金项目,明清时期蒙汉贸易与社会控制研究,张宪功,2015
47,历史学,内蒙古师范大学,青年基金项目,近代知识转型视角下清代中后期的天算专门之学研究,陈志辉,2015
48,历史学,西安外国语大学,青年基金项目,约旦现代化进程中的民族国家构建研究,李茜,2015
49,历史学,西北师范大学,青年基金项目,宫廷萨满祭祀在清前期民族融合与文化认同中的作用研究,崔欣,2015
50,考古学,云南师范大学,青年基金项目,古代“南方丝绸之路”与东南亚青铜时代文化的关系研究,陈晓倩,2015
51,经济学,昆明学院,规划基金项目,我国财政预算信息公开的图形可视化研究,管彦庆,2015
52,经济学,四川师范大学,规划基金项目,区域视角下西南成熟型资源城市转型发展研究,罗怀良,2015
53,经济学,西安财经学院,规划基金项目,中国新常态经济发展的动力结构优化研究,蒲晓晔,2015
54,经济学,西北农林科技大学,规划基金项目,新丝绸之路经济带框架下西北与中亚和俄罗斯农业合作模式研究,魏凤,2015
55,经济学,西南财经大学,规划基金项目,风险共享型社会网络建构与演化的经济机理研究,张彤,2015
56,经济学,西南大学,规划基金项目,三峡库区农业适度规模经营研究,黄云,2015
57,经济学,云南财经大学,规划基金项目,基于培育社会力量供给能力的城市地区政府购买居家养老服务机制创新研究,朱俊立,2015
58,经济学,河套学院,青年基金项目,西部干旱区农业灌溉水价改革、农民承受能力及间接补偿机制研究,杜俊平,2015
59,经济学,昆明理工大学,青年基金项目,我国西部地区“教育补助陷阱”的形成机理和应对策略研究,肖琴,2015
60,经济学,兰州商学院,青年基金项目,空间趋同视角下中国新型城镇化效率优化研究,赵永平,2015
61,经济学,内蒙古科技大学,资源诅咒效应发生机制与规避策略研究：基于空间经济学视角,青年基金项目,刘那日苏,2015
62,经济学,陕西师范大学,青年基金项目,环境价值核算体系创新与实证研究,王文军,2015
63,经济学,陕西师范大学,青年基金项目,城市内部游流时空规律与驱动机制研究,李振亭,2015
64,经济学,四川师范大学,青年基金项目,红色旅游中游客敬畏情绪的测量及其影响效果研究,卢东,2015
65,经济学,西安外国语大学,青年基金项目,演化经济地理学视角下的旅游产业集群创新机制研究——以西安大都市区为例,孙鹏,2015
66,经济学,西北农林科技大学,青年基金项目,农户农地经营权反担保贷款可得性研究：机理、实证与对策,李韬,2015
67,经济学,西南财经大学,青年基金项目,利益集团对人民币汇率制度弹性的影响研究,刘晓辉,2015
68,经济学,西南民族大学,青年基金项目,幸福经济学视角下政府财政支出行为研究,王鹏,2015
69,经济学,云南大学,青年基金项目,人力资本多样化对区域经济增长的影响效应研究,陶小龙,2015
70,经济学,云南民族大学,青年基金项目,通货膨胀、相对价格变动与资源配置效率,聂飒,2015
71,经济学,重庆理工大学,农业适度规模经营与金融服务共生演化机理及模式研究——基于农业价值链视角,青年基金项目,姜松,2015
72,经济学,重庆文理学院,青年基金项目,健全农业保险市场运行机制研究,黄正军,2015
73,管理学,昆明理工大学,规划基金项目,大数据环境下融合情境与主体特征的农产品顾客偏好模型研究——以云南省为例,龚映梅,2015
74,管理学,钦州学院,规划基金项目,海上丝绸之路跨境电子商务物流风险防范机制研究,乔鹏亮,2015
75,管理学,四川大学,规划基金项目,产学研协同创新的协同效应研究,顾新,2015
76,管理学,西南交通大学,规划基金项目,大数据背景下网络定向广告精准传播模型构建及优化研究,蒋玉石,2015
77,管理学,西南交通大学,规划基金项目,竞争环境下存在策略消费者的在线零售商动态定价策略研究,官振中,2015
78,管理学,重庆工商大学,规划基金项目,中国情境下的群发性企业失责行为研究,陈丽新,2015
79,管理学,重庆工商大学,规划基金项目,高管团队任务冲突对决策绩效的影响机制研究,戴佩华,2015
80,管理学,重庆文理学院,规划基金项目,基于软集合理论的双语言多属性决策方法研究及其应用,王红君,2015
81,管理学,重庆邮电大学,规划基金项目,大数据时代海量电信客户价值评价方法研究,邓维斌,2015
82,管理学,宝鸡文理学院,青年基金项目,基于社会网络的新兴产业创新生态系统生成与治理研究,刘辉,2015
83,管理学,兰州大学,地方政府绩效评价的价值冲突管理：基于中国县级政府的质性研究,青年基金项目,孙斐,2015
84,管理学,四川农业大学,川西北藏族村庄布点优化及政策研究：基于地质灾害风险视角,青年基金项目,甘露,2015
85,管理学,四川外国语大学,青年基金项目,碳排放交易机制下项目导向型供应链集成调度研究,王伟鑫,2015
86,管理学,西北师范大学,西部民族地区企业人力资源管理实践、民族多样性氛围与员工绩效-以甘肃省民族地区为例,青年基金项目,黄勇,2015
87,管理学,西华大学,中国模式经济发展激励机制研究——基于随机动态优化视角,青年基金项目,罗涛,2015
88,管理学,西南交通大学,青年基金项目,区域危险废物绿色物流系统构建与网络设计研究,赵军,2015
89,管理学,重庆大学,青年基金项目,领导-部属交换关系差异化的前因和结果变量研究：兼论代际和公平的调节作用,张翠莲,2015
90,管理学,重庆工商大学,青年基金项目,大规模地震对关键救灾设施中断的影响机理及减灾机制研究,周愉峰,2015
91,管理学,重庆科技学院,青年基金项目,货币政策、集团内部资本市场运作与成员企业资本配置,计方,2015
92,政治学,楚雄师范学院,青年基金项目,西部边疆治理去差异化模式构建研究,刘华夏,2015
93,政治学,贵州大学,青年基金项目,教育塑造国家认同的机制研究——新疆民族教育发展的故事（1949-1966）,胡赣栋,2015
94,政治学,昆明理工大学,青年基金项目,连片特困地区多中心协同的反贫困治理模式研究—基于滇西边境山区的实证研究,冯朝睿,2015
95,政治学,兰州文理学院,青年基金项目,“政治伊斯兰”运动对中国新疆地区安全稳定的影响及对策研究,张吉军,2015
96,政治学,四川建筑职业技术学院,青年基金项目,俄国专制君主制探源,周厚琴,2015
97,政治学,西华师范大学,青年基金项目,身份、行动与灾区社会治理——川陕四村灾民行为研究,王玲,2015
98,政治学,云南大学,青年基金项目,边疆民族自治地区政治权力资源配置研究,邵宇,2015
99,法学,贵州民族大学,规划基金项目,撤乡并镇背景下西南民族地区乡村治理法治化问题研究,王莺桦,2015
100,法学,陕西理工学院,规划基金项目,婚姻立法与习俗良性互动对西部农村女性权益影响研究,马小花,2015
101,法学,四川师范大学,规划基金项目,我国政府购买养老服务法治化研究,于新循,2015
102,法学,西南财经大学,规划基金项目,乡村治理视域下土地承包经营权流转信托法律研究,谈李荣,2015
103,法学,四川大学,青年基金项目,人工智能辅助量刑模型研究,张妮,2015
104,社会学,兰州商学院,青年基金项目,新丝绸之路经济带建设中资源丰裕省份“资源诅咒”及其规避研究,刘建国,2015
105,社会学,内蒙古民族大学,青年基金项目,手机移动互联网社交媒体使用行为对青少年社会化的影响及应对研究,姜永志,2015
106,社会学,西北政法大学,青年基金项目,青少年网络欺凌问题研究,任娟娟,2015
107,社会学,西南大学,青年基金项目,连片特困地区旅游开发与精准扶贫的协同路径研究,黄国庆,2015
108,社会学,西南民族大学,青年基金项目,四川彝区劳务输出与乡村治理路径研究,毛呷呷,2015
109,社会学,云南农业大学,青年基金项目,新型城镇化背景下少数民族族群生活方式变迁研究,董海珍,2015
110,民族学与文化学,北方民族大学,青年基金项目,山神信仰中的多元文化与族际互动——以河西走廊蒙古族、藏族、裕固族为例,钟梅燕,2015
111,民族学与文化学,内蒙古大学,青年基金项目,地区认同建构过程中的佛教寺庙功能研究——以18-20世纪中期阿拉善南寺为例,青斯琴,2015
112,民族学与文化学,内蒙古工业大学,青年基金项目,牧区新型城镇化背景下蒙古族生活方式变迁研究——以内蒙古东乌旗为例,滕驰,2015
113,民族学与文化学,陕西师范大学,青年基金项目,多元族群关系背景下的甘南藏区回商与市场（1875—1949年）,马磊,2015
114,民族学与文化学,西南民族大学,青年基金项目,民族文化资源的保护利用与民族地区新型城镇化建设协调发展研究,唐剑,2015
115,民族学与文化学,云南大学,青年基金项目,城市化背景下少数民族社区的晚年生活挑战与文化福利发展：以昆明市郊Ｓ白族社区为例,李艳华,2015
116,新闻学与传播学,内蒙古大学,规划基金项目,传统文化视域下的蒙古族非语言符号传播研究,达古拉,2015
117,新闻学与传播学,广西民族师范学院,青年基金项目,桂西南边境地区红色文化教育功能传播效果研究,卢燕丹,2015
118,新闻学与传播学,贵州大学,青年基金项目,“媒介化社会”中的民族村寨文化变迁研究——基于贵州岜沙苗寨的民族志阐释,吴妍,2015
119,教育学,钦州学院,规划基金项目,西部地区教师流动的文化冲突与融合机制研究,冼秀丽,2015
120,教育学,陕西师范大学,规划基金项目,认知诊断视角下职前教师教育实践能力标准研究,户清丽,2015
121,教育学,陕西师范大学,规划基金项目,幼儿园安全风险指标体系研究,刘华,2015
122,教育学,陕西师范大学,规划基金项目,国家安全视域下西部高等职业教育体系建设研究,祁占勇,2015
123,教育学,大理学院,青年基金项目,滇西边境片区义务教育均衡发展方式转变研究,崔慧广,2015
124,教育学,贵州师范大学,青年基金项目,新型城镇化背景下儿童生活共同体研究——以贵州省为例,李旭,2015
125,教育学,贵州师范大学,青年基金项目,坚守还是离开?——贵州特岗教师职业认同的叙事研究,蹇世琼,2015
126,教育学,河西学院,青年基金项目,甘肃省全科型小学教师职前培养模式研究,王莉,2015
127,教育学,凯里学院,青年基金项目,农村义务教育学生营养餐实施中的问题与对策研究——基于西南五省区的调查,邵忠祥,2015
128,教育学,黔南民族师范学院,青年基金项目,布依族大学生大学英语学习负动机实证研究,蔡玲,2015
129,教育学,陕西理工学院,青年基金项目,大数据视域下区域基础教育信息化评估及推进路径研究,刘凤娟,2015
130,教育学,陕西师范大学,青年基金项目,基于MOOC的翻转课堂研究：中外合作教学的视角,马红亮,2015
131,教育学,四川师范大学,青年基金项目,知识转移视角下“国培计划”骨干教师培训成果迁移的研究,刘莉,2015
132,教育学,渭南师范学院,青年基金项目,高校精品开放课程发展路径与应用绩效评估研究,杨方琦,2015
133,教育学,西安外国语大学,青年基金项目,西北农村义务教育教师补充机制研究：教育公益组织的作用及提升,景小涛,2015
