序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,马克思主义/思想政治教育,石河子大学,青年基金项目,新媒体视阈下新疆高校意识形态安全教育研究,樊家军,2017
2,语言学,新疆师范大学,规划基金项目,维吾尔语位移事件的类型学研究,李遐,2017
3,语言学,新疆师范大学,规划基金项目,塔吉克斯坦语言教育政策研究,李雅,2017
4,语言学,新疆大学,青年基金项目,现代维吾尔语情感语音数据库的设计与感知研究,侯云红,2017
5,中国文学,新疆大学,规划基金项目,哈萨克非物质文化遗产“铁尔麦”艺术的传承与发展研究,卡木那.江波孜,2017
6,艺术学,昌吉学院,青年基金项目,新疆丝绸之路少数民族乡镇景观规划路径研究,张雪坤,2017
7,艺术学,新疆师范大学,青年基金项目,文化人类学视野下的哈萨克斯坦维吾尔音乐文化研究,穆巴拉克·伊米提,2017
8,历史学,伊犁师范学院,青年基金项目,清代西迁驻防族群与新疆伊犁多元文化空间的形成,佟颖,2017
9,经济学,石河子大学,青年基金项目,“丝绸之路经济带”框架下中国新疆与巴基斯坦工业产能合作研究,闫敏,2017
10,经济学,新疆财经大学,青年基金项目,“丝绸之路经济带”建设下哈萨克斯坦基础设施支出偏向研究,薛凤珍,2017
11,管理学,新疆财经大学,规划基金项目,政府目标、投资竞争与新疆煤炭资源开发“强区富民”财富悖论形成机制研究,贺红艳,2017
12,民族学与文化学,新疆兵团警官高等专科学校,规划基金项目,中华优秀传统文化在新疆危安犯教育改造中的价值研究,陈云,2017
13,民族学与文化学,新疆师范大学,青年基金项目,医疗音乐人类学视阈下的新疆维吾尔族萨满教治病仪式音乐研究,哈尼克孜·阿布都外里,2017
14,新闻学与传播学,新疆大学,青年基金项目,新疆维吾尔文“两微一端”信息传播与管理研究,尼加提·依布拉音,2017
15,教育学,新疆师范大学,青年基金项目,新疆融合教育的实施现状和发展对策研究,王阳,2017
16,教育学,新疆师范大学,青年基金项目,新疆多民族特殊儿童的音乐治疗本土化实践研究,苏秦,2017
17,教育学,新疆师范高等专科学校,青年基金项目,中华民族认同视阈下新疆少数民族大学生国家意识形态安全教育研究,帕提曼·艾克木,2017
18,体育科学,石河子大学,青年基金项目,新疆少数民族妇女享有体育公共服务均等化与构建和谐社会关系的研究,王学文,2017
19,交叉学科/综合研究,新疆财经大学,规划基金项目,基于众源信息聚合的新疆大学生意识形态风险预警研究,杨晓梅,2017
20,交叉学科/综合研究,伊犁师范学院,规划基金项目,“互联网+”时代锡伯语文有声数据库的理论与实践,柳慧,2017
21,交叉学科/综合研究,石河子大学,青年基金项目,哈萨克族毡绣虚拟体验平台的开发与应用,刘萍,2017
