序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,中国特色社会主义理论体系研究,上海政法学院,专项任务项目,习近平关于坚持和发展中国特色社会主义的重要论述研究,吴素霞,2014
2,中国特色社会主义理论体系研究,山东大学,专项任务项目,从科学发展观到习近平系列讲话：马克思主义方法论的新发展,刘明芝,2014
3,中国特色社会主义理论体系研究,上海理工大学,专项任务项目,收入分配改革中政府与市场作用边界研究——全面深化改革背景下的收入分配调节,史玉,2014
4,中国特色社会主义理论体系研究,山东大学,专项任务项目,中国特色社会主义生态文明建设保障机制研究,张乐民,2014
5,中国特色社会主义理论体系研究,中央财经大学,专项任务项目,干部选拔工作的中国特色、成功经验与改进路径研究,罗海元,2014
6,中国特色社会主义理论体系研究,北京师范大学,专项任务项目,法治中国与社会主义国家治理能力现代化建设研究,马振清,2014
7,中国特色社会主义理论体系研究,临沂大学,专项任务项目,以人为核心的新型城镇化理论,潘可礼,2014
8,中国特色社会主义理论体系研究,上海大学,专项任务项目,中国特色社会主义理论自信的形成环节研究,刘静芳,2014
9,中国特色社会主义理论体系研究,大连大学,专项任务项目,“三个自信”的总体性研究,姜中才,2014
10,中国特色社会主义理论体系研究,东华大学,专项任务项目,中国特色政党制度自信研究,钱文华,2014
11,中国特色社会主义理论体系研究,河北大学,专项任务项目,中国特色社会主义理论体系方法论研究,王海,2014
12,中国特色社会主义理论体系研究,深圳大学,专项任务项目,中国特色社会主义道路研究,郑志平,2014
13,中国特色社会主义理论体系研究,天津科技大学,专项任务项目,中国特色社会主义制度创新的经验与进路研究,于江涛,2014
14,中国特色社会主义理论体系研究,中国农业大学,专项任务项目,中国特色社会主义话语体系构建研究,陈东琼,2014
15,中国特色社会主义理论体系研究,天津师范大学,专项任务项目,中国特色社会主义民生论,贺方彬,2014
16,中国特色社会主义理论体系研究,广西科技大学,专项任务项目,中国特色社会主义视域中的边境民族地区民生问题及改善研究,付蓓,2014
17,中国特色社会主义理论体系研究,中国人民大学,专项任务项目,党的理论工作者与毛泽东思想传播研究（1949-1966）,欧阳奇,2014
18,中国特色社会主义理论体系研究,河北农业大学,专项任务项目,大数据时代马克思主义网络传播研究,郭跃军,2014
19,中国特色社会主义理论体系研究,北京理工大学,专项任务项目,建国以来毛泽东思想大众化及其认同的历史经验研究,江大伟,2014
20,中国特色社会主义理论体系研究,安徽财经大学,专项任务项目,马克思主义平等观在中国的运用和发展研究,唐子茜,2014
21,中国特色社会主义理论体系研究,嘉应学院,专项任务项目,毛泽东、邓小平社会治理思想比较研究,郭锦杭,2014
22,中国特色社会主义理论体系研究,中国政法大学,专项任务项目,当代西方学者关于《资本论》研究的新特点与新趋势,邰丽华,2014
23,中国特色社会主义理论体系研究,中国农业大学,专项任务项目,马克思恩格斯科技创新与制度创新协同演化思想及其在当代中国的发展,刘巍,2014
24,中国特色社会主义理论体系研究,江苏警官学院,专项任务项目,文化自觉与当代大学生民族精神的培育,史炳军,2014
25,中国特色社会主义理论体系研究,南通大学,专项任务项目,榜样文化建设与培育践行社会主义核心价值观研究,张爵宁,2014
26,中国特色社会主义理论体系研究,徐州工程学院,专项任务项目,当代中国的核心价值观国际传播研究,张华,2014
27,中国特色社会主义理论体系研究,浙江理工大学,专项任务项目,社会主义核心价值观引导网络文化建设研究,肖香龙,2014
28,中国特色社会主义理论体系研究,怀化学院,专项任务项目,红色文化资源在培育和践行社会主义核心价值观中的应用研究,向国华,2014
29,中国特色社会主义理论体系研究,中国人民大学,专项任务项目,中国共产党培育践行社会主义核心价值观的发展历程与基本经验研究,李玉峰,2014
30,中国特色社会主义理论体系研究,天津财经大学,专项任务项目,社交媒体中的谣言对大学生理想信念影响及其对策研究,曹晓勇,2014
31,中国特色社会主义理论体系研究,黑河学院,专项任务项目,中国梦融入大学生思想政治教育的模式研究,曾光顺,2014
32,中国特色社会主义理论体系研究,井冈山大学,专项任务项目,中国共产党革命精神传承与当代大学生“中国梦”教育,李文靖,2014
33,中国特色社会主义理论体系研究,渤海大学,专项任务项目,当代大学生思想状况、发展轨迹和培养策略研究—兼论时代精神、民族精神及理想信念,张春梅,2014
34,中国特色社会主义理论体系研究,中国矿业大学,专项任务项目,高校思政教育视阈下中国特色社会主义的道路自信研究,丁戎,2014
35,中国特色社会主义理论体系研究,南开大学,专项任务项目,仪式传播视阈下的思想政治教育创新研究,陈文旭,2014
36,中国特色社会主义理论体系研究,滨州医学院,专项任务项目,大学生网络素养现状及教育对策研究,刘树琪,2014
37,中国特色社会主义理论体系研究,泰山学院,专项任务项目,中国梦提出的时代背景研究——基于现代化“节点”视角,倪翠兰,2014
38,中国特色社会主义理论体系研究,嘉兴学院,专项任务项目,中国梦与坚定理想信念研究——基于价值导引视角,郭维平,2014
39,中国特色社会主义理论体系研究,肇庆学院,专项任务项目,马克思主义总体观视域下的中国梦研究,刘习根,2014
40,中国特色社会主义理论体系研究,齐鲁工业大学,专项任务项目,群众路线的运行逻辑和介入因素研究,刘慧,2014
41,中国特色社会主义理论体系研究,南方医科大学,专项任务项目,中国特色社会主义道路的发展逻辑研究,傅义强,2014
42,中国特色社会主义理论体系研究,黑龙江东方学院,专项任务项目,中国特色社会主义政治发展道路：内在逻辑与发展道路——基于公民身份的视角,王海荣,2014
43,中国特色社会主义理论体系研究,河南科技大学,专项任务项目,中国特色社会主义农村发展道路研究,杜玉珍,2014
44,中国特色社会主义理论体系研究,宁波大红鹰学院,专项任务项目,“马克思主义中国化”百年历史流变的图像志与图像学研究,张杰,2014
45,中国特色社会主义理论体系研究,台州学院,专项任务项目,马克思幸福观的本真蕴含与当代价值,李跃华,2014
46,中国特色社会主义理论体系研究,辽宁石油化工大学,专项任务项目,《资本论》蕴含的生态经济思想及其当代价值研究,陈雪峰,2014
47,中国特色社会主义理论体系研究,渤海大学,专项任务项目,恩格斯晚年的社会主义构想与中国特色社会主义建设研究,李慧,2014
