序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,中国特色社会主义理论体系研究,北京化工大学,专项任务项目,马克思消费理论及其当代价值研究,宁全荣,2017
2,中国特色社会主义理论体系研究,北京化工大学,专项任务项目,国家治理视阈中的社会主义核心价值观建设研究,陈顺伟,2017
3,中国特色社会主义理论体系研究,北京交通大学,专项任务项目,中国特色大国外交新理念与我国对外援助,王玉萍,2017
4,中国特色社会主义理论体系研究,北京交通大学,专项任务项目,国家治理现代化评价体系研究,李效东,2017
5,中国特色社会主义理论体系研究,北京交通大学,专项任务项目,中国特色社会主义文化自信的内在逻辑研究,陈树文,2017
6,中国特色社会主义理论体系研究,北京师范大学,专项任务项目,习近平论青年成长成才研究,高超,2017
7,中国特色社会主义理论体系研究,北京师范大学,专项任务项目,以大学生思想政治教育为视角的习近平民主思想研究,董晓蕾,2017
8,中国特色社会主义理论体系研究,北京师范大学,专项任务项目,共享发展理念视阈下的中国特色社会主义劳动关系研究,肖潇,2017
9,中国特色社会主义理论体系研究,北京信息科技大学,专项任务项目,大数据时代高校思想政治教育协同创新研究,胡飒,2017
10,中国特色社会主义理论体系研究,北京第二外国语学院,专项任务项目,演艺企业弘扬中华传统文化管理创新途径研究,马爱萍,2017
11,中国特色社会主义理论体系研究,滨州医学院,专项任务项目,新形势下残疾人大学生的思想行为特征及教育对策研究,胡玉宁,2017
12,中国特色社会主义理论体系研究,常州工学院,专项任务项目,习近平“三农”问题讲话中人民主体思想研究,钱正武,2017
13,中国特色社会主义理论体系研究,重庆工商大学,专项任务项目,高校积极心理健康教育探索,吴志斌,2017
14,中国特色社会主义理论体系研究,重庆工商大学,专项任务项目,当前热点舆情动态跟踪研究,李春茹,2017
15,中国特色社会主义理论体系研究,重庆邮电大学,专项任务项目,马克思主义权力理论视域下的网络社会治理新理念研究,谢佳,2017
16,中国特色社会主义理论体系研究,东华大学,专项任务项目,马克思主义理论在大学生中传播状况研究,耿绍宁,2017
17,中国特色社会主义理论体系研究,东华理工大学,专项任务项目,习近平网络主权思想研究,段艳丰,2017
18,中国特色社会主义理论体系研究,福州大学,专项任务项目,国际比较视域下坚定中国道路自信研究,周建锋,2017
19,中国特色社会主义理论体系研究,福州外语外贸学院,专项任务项目,农业供给侧结构性改革视野下金融精准扶贫模式研究,陈钦,2017
20,中国特色社会主义理论体系研究,福州外语外贸学院,专项任务项目,“互联网+”理念下民办高校主流意识形态话语权提升策略研究,陈炳钦,2017
21,中国特色社会主义理论体系研究,广东海洋大学,专项任务项目,广东南路红色文化资源在高校思政课教学中的应用研究,高良坚,2017
22,中国特色社会主义理论体系研究,广东海洋大学,专项任务项目,社会主义核心价值观嵌入式培育的路径研究,孙淑秋,2017
23,中国特色社会主义理论体系研究,广东石油化工学院,专项任务项目,青年社会主义核心价值观培育和践行的“生活化”研究,秦程节,2017
24,中国特色社会主义理论体系研究,广西师范大学,专项任务项目,中国文化自信与红色文化开发利用研究,林全民,2017
25,中国特色社会主义理论体系研究,广西师范大学,专项任务项目,延安时期中共党内政治生活正常化经验研究,刘强,2017
26,中国特色社会主义理论体系研究,广州城建职业学院,专项任务项目,红色资源开发与思想政治教育双向联动研究,唐智,2017
27,中国特色社会主义理论体系研究,广州大学华软软件学院,专项任务项目,以礼化人：社会主义核心价值观培育和践行的有效路径研究,艾红玲,2017
28,中国特色社会主义理论体系研究,广州番禺职业技术学院,专项任务项目,当代大学生理想信念形成特点及教育研究,曹群,2017
29,中国特色社会主义理论体系研究,河北工业大学,专项任务项目,习近平文化建设思想与大学生文化自信研究,邵艳梅,2017
30,中国特色社会主义理论体系研究,河北金融学院,专项任务项目,基于虚拟现实技术的红色文化育人可视化平台建设研究,魏晓光,2017
31,中国特色社会主义理论体系研究,河北经贸大学,专项任务项目,社会主义核心价值观融入大学生核心素养的实施路径研究,郑康,2017
32,中国特色社会主义理论体系研究,湖北第二师范学院,专项任务项目,社会主义核心价值观在大学生中的话语权研究,李烨红,2017
33,中国特色社会主义理论体系研究,湖北医药学院,专项任务项目,医学院校《马克思主义基本原理概论》特色案例库研究,鲁建辉,2017
34,中国特色社会主义理论体系研究,湖南工程学院,专项任务项目,跨文化交际中提升社会主义核心价值观话语权的对策与路径研究,朱霁,2017
35,中国特色社会主义理论体系研究,湖南工业大学,专项任务项目,全面从严治党的伦理要求及其实现路径研究,陈莉妤,2017
36,中国特色社会主义理论体系研究,湖南中医药大学,专项任务项目,意识形态安全视域的大学生理想信念教育研究,龙斌,2017
37,中国特色社会主义理论体系研究,华北水利水电大学,专项任务项目,俄罗斯环境政策对中国特色社会主义生态文明建设的启示研究,王冠军,2017
38,中国特色社会主义理论体系研究,华东师范大学,专项任务项目,大学生社会主义核心价值观教学实施路径研究,孙健,2017
39,中国特色社会主义理论体系研究,华南师范大学,专项任务项目,红色经典影视剧的改编与当代大学生社会主义核心价值观的研究,胡博,2017
40,中国特色社会主义理论体系研究,华侨大学,专项任务项目,“四个自信”的传统文化资源研究,赵威,2017
41,中国特色社会主义理论体系研究,华中农业大学,专项任务项目,中共改造农民的历史经验及启示研究（1921-1949）,同书琴,2017
42,中国特色社会主义理论体系研究,黄河科技学院,专项任务项目,分析哲学视阈下的马克思生产力范畴研究,杨彩利,2017
43,中国特色社会主义理论体系研究,吉林大学,专项任务项目,提升大学生把握中国与世界发展大势的路径研究,韦洪发,2017
44,中国特色社会主义理论体系研究,吉林建筑大学,专项任务项目,习近平制度治党思想研究,崔征,2017
45,中国特色社会主义理论体系研究,济宁学院,专项任务项目,近现代社会转型中的儒学现代化研究,郭瑞,2017
46,中国特色社会主义理论体系研究,暨南大学,专项任务项目,香港本土主义思潮研究,田明,2017
47,中国特色社会主义理论体系研究,佳木斯大学,专项任务项目,马克思社会形态理论与中国道路的内在逻辑,张月梅,2017
48,中国特色社会主义理论体系研究,嘉兴学院,专项任务项目,集体记忆视角下红色文化传承与大学生中国梦教育研究,高凡夫,2017
49,中国特色社会主义理论体系研究,江西师范大学,专项任务项目,唯物史观视阈中的信息文明研究,王水兴,2017
50,中国特色社会主义理论体系研究,井冈山大学,专项任务项目,习近平关于井冈山精神重要论述研究,郭少华,2017
51,中国特色社会主义理论体系研究,井冈山大学,专项任务项目,高校红色文化资源育人研究,肖发生,2017
52,中国特色社会主义理论体系研究,兰州大学,专项任务项目,思想政治理论课贯彻高校思政工作会议精神的模式及路径探究,蒋海蛟,2017
53,中国特色社会主义理论体系研究,聊城大学,专项任务项目,习近平青年教育思想研究,李士峰,2017
54,中国特色社会主义理论体系研究,临沂大学,专项任务项目,毛泽东领导方法及其当代价值研究,张立梅,2017
55,中国特色社会主义理论体系研究,南昌师范学院,专项任务项目,八一精神的传承与弘扬研究,敖四江,2017
56,中国特色社会主义理论体系研究,南京晓庄学院,专项任务项目,习近平治国理政思想与中华优秀传统文化的关系研究,王恒亮,2017
57,中国特色社会主义理论体系研究,青岛大学,专项任务项目,《资本论》中的分配思想及其当代价值,周江霞,2017
58,中国特色社会主义理论体系研究,山东大学,专项任务项目,习近平文化遗产思想研究,孙克,2017
59,中国特色社会主义理论体系研究,山东大学,专项任务项目,中国特色社会主义政治经济学视域下的共享发展研究,赵秀丽,2017
60,中国特色社会主义理论体系研究,山东大学,专项任务项目,中国共产党早期对价值虚无主义的批判,赵锦英,2017
61,中国特色社会主义理论体系研究,山东理工大学,专项任务项目,习近平人类命运共同体思想研究,张子礼,2017
62,中国特色社会主义理论体系研究,山东师范大学,专项任务项目,国际议程设置视阈下中国制度性话语权提升研究,吕松涛,2017
63,中国特色社会主义理论体系研究,山西大学商务学院,专项任务项目,习近平革命文化思想价值研究,崔利萍,2017
64,中国特色社会主义理论体系研究,陕西经济管理职业技术学院,专项任务项目,文化自信与陕西文化资源利用研究,曹继红,2017
