序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,法学,安徽大学,规划基金项目,政府采购领域中垄断行为的法律规制研究,李胜利,2014
2,法学,安徽工业大学,规划基金项目,企业环境污染第三方治理法律问题研究,孔东菊,2014
3,法学,北京工商大学,规划基金项目,城市公共空间商业化利用法律制度研究,吕来明,2014
4,法学,北京师范大学,规划基金项目,美国社区听证对中国的借鉴研究,黄凤兰,2014
5,法学,长春理工大学,规划基金项目,内部行政法律责任的理论与实证研究,张闯,2014
6,法学,电子科技大学中山学院,规划基金项目,集体劳动争议的转型态势与处理制度研究——以珠三角为例,欧阳白果,2014
7,法学,东华理工大学,规划基金项目,网络谣言分类治理法律制度研究,李志明,2014
8,法学,东华理工大学,规划基金项目,农村集体建设用地市场化下农用地生态补偿机制的法律研究,吴萍,2014
9,法学,东南大学,规划基金项目,法院内部管理的模式选择与目标定位——以司法改革为背景,李可,2014
10,法学,广东财经大学,规划基金项目,区域贸易协定竞争政策研究——他国的实践与中国的选择,钟立国,2014
11,法学,广东海洋大学,规划基金项目,海洋发展战略背景下我国海上犯罪体系问题研究,许维安,2014
12,法学,杭州电子科技大学,规划基金项目,网络经济下反垄断法实施问题研究,陈伟华,2014
13,法学,合肥工业大学,规划基金项目,跨境就业法律调整研究,李世军,2014
14,法学,湖南工业大学,规划基金项目,中国应对人口老龄化问题的国家义务研究,陈雄,2014
15,法学,湖南师范大学,规划基金项目,中国涉外收养法律制度的完善对策,蒋新苗,2014
16,法学,华东政法大学,规划基金项目,海洋航行自由的国际法理论与实践研究,袁发强,2014
17,法学,华南理工大学,规划基金项目,协同创新知识产权利益分配机制研究,李石勇,2014
18,法学,黄冈师范学院,规划基金项目,南海低敏感领域区域合作法律机制研究,李建勋,2014
19,法学,吉林大学,规划基金项目,信息违法犯罪行为的规制与矫正,高德胜,2014
20,法学,集美大学,规划基金项目,大数据时代电子证据收集与保全问题研究,高波,2014
21,法学,江西财经大学,规划基金项目,从影响性刑事个案的民意表达看司法公信力,邓辉,2014
22,法学,内蒙古大学,规划基金项目,少数民族法律援助权益保障研究,李卫东,2014
23,法学,山东政法学院,规划基金项目,我国继承法修订难点问题研究,安宗林,2014
24,法学,上海大学,规划基金项目,现代高校建设中的人事体制改革法律问题研究,谌瑜,2014
25,法学,上海政法学院,规划基金项目,跨境环境损害防治的国际法律问题研究,刘恩媛,2014
26,法学,上海政法学院,规划基金项目,互联网金融领域信用法律体系的构建,赵园园,2014
27,法学,武汉纺织大学,规划基金项目,我国服刑人员及被羁押人员民事权利保障对策研究,刘箭,2014
28,法学,西北大学,规划基金项目,互联网金融知识产权保护机制研究,张曼,2014
29,法学,西北政法大学,规划基金项目,涉外民事法律选择模式研究——基于法律方法论的视角,翁杰,2014
30,法学,西南科技大学,规划基金项目,构建中国特色社区矫正制度——以西部省区实践为基础的分析,廖斌,2014
31,法学,云南大学,规划基金项目,少数民族地区刑事案件变通适用研究——以刑法不得已原则为视角,梅象华,2014
32,法学,浙江工业大学,规划基金项目,民事诉讼视听传输技术作证研究,李峰,2014
33,法学,浙江科技学院,规划基金项目,从碎片化到协同：行政管辖权重叠问题研究,顾建亚,2014
