序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,法学,四川大学,规划基金项目,美对华农产品贸易救济措施及对策研究,杜玉琼,2013
2,法学,西北大学,青年基金项目,国际强化与协调监管背景下我国信用评级规制及其改革研究,彭秀坤,2013
3,管理学,电子科技大学,青年基金项目,基于动因视角的知识型员工反生产行为的结构维度研究,刘文彬,2013
4,管理学,广西师范大学,青年基金项目,社会管理的协同机制研究：理论模型与实证分析,苏曦凌,2013
5,管理学,兰州交通大学,青年基金项目,面向服务水平的公交线路动态运营调度策略研究,杨信丰,2013
6,管理学,兰州商学院,青年基金项目,高等学校治理研究：公共管理的视角,侯志峰,2013
7,管理学,陕西师范大学,青年基金项目,医药费用控制中的协同管理与模式创新研究,徐创洲,2013
8,管理学,四川大学,青年基金项目,产业转移背景下西部地区低碳增长研究,姚黎明,2013
9,管理学,四川大学,青年基金项目,群体共识决策的影响因素、达成策略及应用研究,吴志彬,2013
10,管理学,四川农业大学,青年基金项目,基于三重盈余架构的中国企业社会责任评价体系研究,符刚,2013
11,管理学,四川师范大学,青年基金项目,中国西部地区旅游产业竞争力时空演变及提升对策研究--可持续发展视角下的实证研究,李嘉,2013
12,管理学,西安电子科技大学,青年基金项目,全球制造环境下云制造系统脆弱性演化机理及控制机制研究,刘爱军,2013
13,管理学,西安建筑科技大学,青年基金项目,面向政府收益保障的公私合作项目VFM评价模型及其应用研究,胡振,2013
14,管理学,西南财经大学,青年基金项目,地方国有上市公司非效率投资及投资来源选择研究：基于地方官员激励的视角,曹春方,2013
15,管理学,西南财经大学,青年基金项目,时限性回购契约在出版业的应用,朱兢,2013
16,管理学,西南大学,青年基金项目,人口变动、劳动力转移背景下农业生产组织体系创新研究,高静,2013
17,管理学,西南民族大学,青年基金项目,双方逆向选择下供应链协调与效率研究,王新辉,2013
18,管理学,重庆工商大学,青年基金项目,全生命周期视角下的城市固废垃圾发电协同效益分析,代春艳,2013
19,管理学,重庆工商大学,青年基金项目,诚信领导对下属主动行为作用机制理论与实证研究,崔子龙,2013
20,管理学,重庆理工大学,青年基金项目,动荡环境下企业营销动态能力：模型、机制与开发应用策略研究,李巍,2013
21,管理学,重庆邮电大学,青年基金项目,基于失败学习的制造企业服务创新知识获取机理与路径研究,杜维,2013
22,国际问题研究,云南大学,青年基金项目,美国对湄公河地区策略的调整及其对GMS合作的影响研究,罗圣荣,2013
23,教育学,安康学院,规划基金项目,新建地方本科院校提高大学生就业竞争力实证研究,谢安国,2013
24,教育学,成都师范学院,规划基金项目,少数民族地区小学低段情趣化汉语教学模式研究,杨东,2013
25,教育学,宁夏大学,规划基金项目,宁夏西海固地区生态移民进程中农村基础教育取向研究,藏志勇,2013
26,教育学,陕西师范大学,规划基金项目,基于核心知识脑图的高效课堂结构研究,张立昌,2013
27,教育学,四川师范大学,规划基金项目,学习型社会下成人终身学习能力构建及培养研究,李盛聪,2013
28,教育学,长安大学,规划基金项目,古代小学“书教”研究,彭砺志,2013
29,教育学,重庆交通大学,规划基金项目,基于复杂性科学的大学课程与课堂变革研究,周开发,2013
30,教育学,重庆师范大学,规划基金项目,西部少数民族学生科学学习困难成因及对策研究,许应华,2013
31,教育学,成都师范学院,青年基金项目,20世纪80年代以来我国农村教师制度身份变迁与反思,侯中太,2013
32,教育学,大理学院,青年基金项目,西双版纳奘寺学童现象及其教育法规因应研究,刘晓巍,2013
33,教育学,贵州师范大学,青年基金项目,大学生基层就业补偿政策及制度建设研究,彭海霞,2013
34,教育学,兰州大学,青年基金项目,西北少数民族地区职业教育社会服务能力现状调查及提升策略研究,马君,2013
35,教育学,西北师范大学,青年基金项目,翻译教师教学能力研究：结构、现状、发展,郭来福,2013
36,教育学,西北师范大学,青年基金项目,职前英语教师实践性知识研究,张维民,2013
37,教育学,西北师范大学,青年基金项目,欧盟移民教育政策比较研究,肖聪,2013
38,教育学,西南大学,青年基金项目,我国综合高中的发展及其未来走向研究,常宝宁,2013
39,教育学,西南大学,青年基金项目,不同语境下中度智力落后儿童语用特点与干预策略FSC主题互动游戏研究,李欢,2013
40,教育学,西南大学,青年基金项目,区域性大学联盟建设的支撑体系与运行机制研究,王正青,2013
41,教育学,西南民族大学,青年基金项目,少数民族大学生文化认同对其就业及社会融合的影响研究,赵丹,2013
42,教育学,云南师范大学,青年基金项目,云南省农村小学教师有效教学能力现状与培训研究,冯丽婷,2013
43,教育学,重庆师范大学,青年基金项目,自闭症儿童社会技能的评估与干预研究,魏寿洪,2013
44,教育学,重庆邮电大学,青年基金项目,大学章程执行力研究,袁春艳,2013
45,经济学,成都工业学院,规划基金项目,高校教职工收入差距研究—基于西部高校的实证数据,冯瑛,2013
46,经济学,电子科技大学,规划基金项目,新兴产业成长的微观机制：网络、企业进入行为及其效应,滕颖,2013
47,经济学,兰州大学,规划基金项目,技术进步方向与经济发展方式转型：基于中国省级区域的实证研究,童长凤,2013
48,经济学,西安财经学院,规划基金项目,西北资源富集区碳排放增长预测及碳减排财税支持研究,铁卫,2013
