序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,马克思主义/思想政治教育,安徽师范大学,规划基金项目,马克思人学语境中的社会主义核心价值观弘扬范式研究,汪盛玉,2015
2,马克思主义/思想政治教育,蚌埠学院,规划基金项目,当代大学生财富伦理观教育价值考量与路径诉求,张朝龙,2015
3,马克思主义/思想政治教育,北京信息科技大学,规划基金项目,当代大学生价值观自信教育与引导研究,赵爱玲,2015
4,马克思主义/思想政治教育,常州大学,规划基金项目,高校青年教师主流意识形态认同与引领路径研究,朱悦怡,2015
5,马克思主义/思想政治教育,东北林业大学,规划基金项目,高校青年教师社会主义核心价值观认同研究,王越芬,2015
6,马克思主义/思想政治教育,东北师范大学,规划基金项目,中美高校思想政治教育教学方法比较研究,林晶,2015
7,马克思主义/思想政治教育,对外经济贸易大学,规划基金项目,马克思主义中国化视域下中共反帝话语范式的建构与演变及其基本经验研究,刘建萍,2015
8,马克思主义/思想政治教育,福建师范大学,规划基金项目,改革开放以来我国大学生精神需求变化趋势研究,廖志诚,2015
9,马克思主义/思想政治教育,福建师范大学,规划基金项目,构建高校社会主义核心价值观微传播教育体系的探索与实践研究,王建南,2015
10,马克思主义/思想政治教育,福州外语外贸学院,规划基金项目,社会主义核心价值观提升我国国际话语权的路径研究,陈宝国,2015
11,马克思主义/思想政治教育,广西科技大学,规划基金项目,社会主义核心价值观融入民间舆论场的载体建设研究,王宇,2015
12,马克思主义/思想政治教育,黑龙江大学,规划基金项目,罗莎·卢森堡的社会革命观研究,李平,2015
13,马克思主义/思想政治教育,湖北第二师范学院,规划基金项目,传承与转化：书院文化中思想政治教育资源研究,蔡志荣,2015
14,马克思主义/思想政治教育,湖北师范学院,规划基金项目,大别山红色文化资源在思想政治教育中的整合利用研究,江峰,2015
15,马克思主义/思想政治教育,湖南工学院,规划基金项目,“微文化”对青年价值观的影响与培育策略研究,王利华,2015
16,马克思主义/思想政治教育,湖南工业大学,规划基金项目,社会转型（1949-1956年）视野中的思想政治教育研究——基于历史分析的视角,李平贵,2015
17,马克思主义/思想政治教育,华东政法大学,规划基金项目,消费时代的文化正义匡扶与文化品质提升研究,傅守祥,2015
18,马克思主义/思想政治教育,华南理工大学,规划基金项目,大数据视域下青年思想政治教育创新发展研究,昝玉林,2015
19,马克思主义/思想政治教育,华南农业大学,规划基金项目,历史唯物主义的当代方法论意义研究,蒋正峰,2015
20,马克思主义/思想政治教育,华侨大学,规划基金项目,中华优秀传统文化在海外华裔青少年群体中的传播策略研究,卓高鸿,2015
21,马克思主义/思想政治教育,华中科技大学,规划基金项目,命运共同体的建构——基于国际机制内化功能的研究,刘传春,2015
22,马克思主义/思想政治教育,嘉兴学院,规划基金项目,社会主义核心价值观视域下国民幸福观教育的价值导引研究,冯光,2015
23,马克思主义/思想政治教育,江南大学,规划基金项目,习近平总书记反腐倡廉建设战略思想研究,王平一,2015
24,马克思主义/思想政治教育,兰州大学,规划基金项目,新形势下反腐倡廉党内法规的科学构建与有效执行研究,蒙慧,2015
25,马克思主义/思想政治教育,兰州交通大学,规划基金项目,中国梦语境下马克思主义的当代形态建构研究,朱进有,2015
26,马克思主义/思想政治教育,辽宁师范大学,规划基金项目,新媒体时代马克思主义大众化传播研究,隋秀英,2015
27,马克思主义/思想政治教育,南通大学,规划基金项目,制度反腐、过程防腐、文化倡廉三位一体——中国特色反腐倡廉道路的整体架构,刘远柱,2015
28,马克思主义/思想政治教育,曲阜师范大学,规划基金项目,基于全球化背景的弘扬与培育中华民族精神研究,陈文殿,2015
29,马克思主义/思想政治教育,山东财经大学,规划基金项目,依法治国进程中人的非理性因素研究,沈大光,2015
30,马克思主义/思想政治教育,山东大学,规划基金项目,俄罗斯联邦共产党理论与实践新发展跟踪研究,李亚洲,2015
31,马克思主义/思想政治教育,山西大学,规划基金项目,中国特色社会主义劳动关系的制度特色研究,李汝贤,2015
32,马克思主义/思想政治教育,汕头大学,规划基金项目,国家治理现代化进程中的公共精神培育研究,赖纯胜,2015
33,马克思主义/思想政治教育,绍兴文理学院,规划基金项目,诠释学视角下马克思主义中国化的文化价值研究,李颖,2015
34,马克思主义/思想政治教育,塔里木大学,规划基金项目,新疆高校反分裂斗争研究,杨明芳,2015
35,马克思主义/思想政治教育,泰山医学院,规划基金项目,青年政治信仰培育问题的时空维度研究,张峰,2015
36,马克思主义/思想政治教育,天津师范大学,规划基金项目,习近平全面从严治党新战略布局深度研究,郭亚全,2015
37,马克思主义/思想政治教育,无锡职业技术学院,规划基金项目,南宋儒家价值观大众化的历史启示研究,朱爱胜,2015
