序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,高校思想政治工作,安徽师范大学,思想政治工作课题,高校思想政治工作者科学思维素养研究,陈勇,2017
2,高校思想政治工作,蚌埠学院,思想政治工作课题,高校立德树人的实现路径研究,魏雪梅,2017
3,高校思想政治工作,长安大学,思想政治工作课题,大学生政治价值观演变的影响因素、动力机制与潜在规律研究,李小芹,2017
4,高校思想政治工作,长春中医药大学,思想政治工作课题,文化自信视域下当代大学生价值观自信教育研究,王娜,2017
5,高校思想政治工作,福建师范大学,思想政治工作课题,高校思想政治教育规律三维研究,张兆文,2017
6,高校思想政治工作,哈尔滨工程大学,思想政治工作课题,价值思辨引领贯穿大学英语教育教学的研究与实践,高晚欣,2017
7,高校思想政治工作,杭州电子科技大学,思想政治工作课题,大数据时代高校意识形态工作创新研究,朱斌,2017
8,高校思想政治工作,河南工业大学,思想政治工作课题,高校“大思政”工作格局的运行模式及实现机制研究,张宝强,2017
9,高校思想政治工作,济南大学,思想政治工作课题,中华优秀传统文化视阈下大学生文化自信培养路径研究,贾海宁,2017
10,高校思想政治工作,江苏理工学院,思想政治工作课题,融合视阈下网络文化育人功能的机理及其实现研究,张羽程,2017
11,高校思想政治工作,江苏师范大学,思想政治工作课题,十八大以来高校思想政治工作“因势而新”的经验、任务、路径研究,葛大伟,2017
12,高校思想政治工作,南京师范大学,思想政治工作课题,高校研究生党建工作协同推进提升实效的研究,罗逾兰,2017
13,高校思想政治工作,上海大学,思想政治工作课题,全员育人：“同向同行”的平台设计与教师组织——以“大国方略”系列课为例,顾骏,2017
14,高校思想政治工作,上海立信会计金融学院,思想政治工作课题,高校青年教师思想政治工作掌握新媒体话语权研究,刘隽,2017
15,高校思想政治工作,西南交通大学,思想政治工作课题,高校思想政治教育有效性动态调查及对策研究—基于大数据与大样本调查面板数据,林晶晶,2017
16,高校思想政治工作,浙江传媒学院,思想政治工作课题,网络公共事件的话语共识研究——以教育类网络公共事件为例,袁蕾,2017
17,高校思想政治工作,浙江工业大学,思想政治工作课题,大数据背景下高校网络意识形态治理机制研究,陈耀,2017
18,高校思想政治工作,浙江农林大学,思想政治工作课题,微时代大学生思想政治教育生活化实现路径研究,董杜斌,2017
19,高校思想政治工作,浙江中医药大学,思想政治工作课题,习近平青年修德思想与大学生文明修身教育研究,方年根,2017
20,高校思想政治工作,中国矿业大学,思想政治工作课题,碎片化传播生态下高校思想政治教育话语转换与重塑研究,阎国华,2017
21,高校思想政治工作,北京大学,辅导员骨干专项,提升高校学生荣誉体系育人实效的路径研究——以北京大学为例,王宇凡,2017
22,高校思想政治工作,北京师范大学,辅导员骨干专项,高校辅导员胜任力模型的构建及应用——以北京高校十佳辅导员为例,倪佳琪,2017
23,高校思想政治工作,重庆工商大学,辅导员骨干专项,我国高校辅导员专业化职业化建设研究,王静,2017
24,高校思想政治工作,重庆邮电大学,辅导员骨干专项,政治社会化理论视阈下高校学生政治冷漠现象管控研究,程桂龙,2017
25,高校思想政治工作,东北林业大学,辅导员骨干专项,融媒体趋势下高校校园媒体融合发展研究,侯利军,2017
26,高校思想政治工作,东北师范大学,辅导员骨干专项,美国新品格教育可借鉴性研究——对大学生社会主义核心价值观认同教育的创新思考,刘晨,2017
27,高校思想政治工作,佛山科学技术学院,辅导员骨干专项,自媒体视域下大学生道德话语理性重构研究,苏少丹,2017
28,高校思想政治工作,广东财经大学,辅导员骨干专项,培育高校大学生社会主义核心价值观认同研究——基于网络话语权的视角,张丹,2017
29,高校思想政治工作,广东工贸职业技术学院,辅导员骨干专项,中华传统文化视域下高职院校工匠精神培育研究,李爽,2017
30,高校思想政治工作,广东药科大学,辅导员骨干专项,新常态下高校发展型资助模式的构建与实践研究,张锡钦,2017
31,高校思想政治工作,杭州电子科技大学,辅导员骨干专项,大学生网络信息评估能力的影响因素与引导策略,胡海滨,2017
32,高校思想政治工作,河南师范大学,辅导员骨干专项,新乡先进群体精神融入河南大学生思想政治教育研究,张锋,2017
33,高校思想政治工作,黑龙江科技大学,辅导员骨干专项,新媒体视阈下大学生网络成瘾的形成机制与干预研究,周惠玉,2017
34,高校思想政治工作,华中农业大学,辅导员骨干专项,革命文化融入大学生日常思想政治教育研究——以武汉地区高校为例,刘广乐,2017
35,高校思想政治工作,暨南大学,辅导员骨干专项,大学生自杀风险识别模型构建及其追踪研究——基于应激-易感理论的视角,王震,2017
36,高校思想政治工作,嘉兴学院,辅导员骨干专项,“全面从严治党”思想指导下高校学生党员质量保障及评价指标体系研究,朱薇婷,2017
37,高校思想政治工作,丽水学院,辅导员骨干专项,人民调解在高校学生矛盾冲突化解中的应用研究,陈池,2017
38,高校思想政治工作,洛阳理工学院,辅导员骨干专项,立足“五大场域”推进高校学生党支部影响力建设研究,张正瑞,2017
39,高校思想政治工作,洛阳师范学院,辅导员骨干专项,高校政治辅导员工作亲和力提升研究,朱亚楠,2017
40,高校思想政治工作,南昌工学院,辅导员骨干专项,中华优秀传统文化与大学生思想政治教育的融合研究,曾晓辉,2017
41,高校思想政治工作,南京工程学院,辅导员骨干专项,以文蕴德—德育生态语境下中国传统文化教育之载体功能培植,王祎黎,2017
42,高校思想政治工作,南京理工大学,辅导员骨干专项,面向职业素质测评的高校辅导员层次培训课程体系研究,罗勇,2017
43,高校思想政治工作,南京林业大学,辅导员骨干专项,“校园贷”风险防范与教育引导机制研究,刘子超,2017
44,高校思想政治工作,南阳理工学院,辅导员骨干专项,网络热点事件中的社会思潮辨识、探究、引领--基于辅导员全方位育人视角,白林驰,2017
45,高校思想政治工作,宁波大红鹰学院,辅导员骨干专项,当代社会思潮对民办高校大学生思想行为的影响与应对研究,张海峰,2017
46,高校思想政治工作,宁波大学,辅导员骨干专项,特质取向的大学生心理危机筛查机制研究,李荔波,2017
47,高校思想政治工作,青岛科技大学,辅导员骨干专项,大学生网络偏差行为及其保护性因素研究：基于纵向追踪的研究,王辰,2017
48,高校思想政治工作,青岛农业大学,辅导员骨干专项,大数据背景下基于学生日常状态数据的高校思政工作精准管理模式构建与实践,王天龙,2017
49,高校思想政治工作,山东农业大学,辅导员骨干专项,高校实践育人的理论内涵与具体实施,李华,2017
50,高校思想政治工作,上海电机学院,辅导员骨干专项,构建高校教师和辅导员协同育人共同体研究,王洁,2017
51,高校思想政治工作,绍兴文理学院,辅导员骨干专项,新时期高校校园媒体融合发展的有效形式和长效机制研究,吕志伟,2017
52,高校思想政治工作,顺德职业技术学院,辅导员骨干专项,“微时代”大学生安全教育接受机制构建研究,魏锡坤,2017
53,高校思想政治工作,四川大学,辅导员骨干专项,基于组织协同的高校创新创业实践育人共同体构建,刘宗鑫,2017
54,高校思想政治工作,唐山工业职业技术学院,辅导员骨干专项,“校园贷”风险防范与教育引导机制研究,胡振明,2017
55,高校思想政治工作,天津城建大学,辅导员骨干专项,基于“工作室制”的内地高校维汉大学生交融模式和实现路径研究,孔伟,2017
56,高校思想政治工作,天津商业大学,辅导员骨干专项,微时代危应对：大学生网络舆情监管与疏导,王素芳,2017
57,高校思想政治工作,同济大学,辅导员骨干专项,社会主义核心价值观融入大学生思想政治教育的路径研究,曹静,2017
58,高校思想政治工作,温州大学,辅导员骨干专项,“新青年下乡”与大学生社会主义核心价值观培育研究,白炳贵,2017
59,高校思想政治工作,温州科技职业学院,辅导员骨干专项,众创背景下高职院校实践育人共同体建设研究,邹良影,2017
60,高校思想政治工作,武汉理工大学,辅导员骨干专项,基于易班平台的高校院系学生党建主题教育网站功能建设与作用发挥研究,陈诚,2017
61,高校思想政治工作,西安建筑科技大学,辅导员骨干专项,全面从严治党背景下大学生廉洁教育体系的构建与探索,宋阳,2017
62,高校思想政治工作,西安交通大学,辅导员骨干专项,高校双创教育育人体系研究,刘茹,2017
63,高校思想政治工作,西南大学,辅导员骨干专项,中华优秀传统文化精神融入大学生日常思想政治教育研究,黄楠竹,2017
64,高校思想政治工作,厦门大学,辅导员骨干专项,高校网络文化建设品牌培育机制研究,聂鑫,2017
65,高校思想政治工作,浙江科技学院,辅导员骨干专项,“校园贷”风险防范及教育引导机制研究——基于风险社会理论视角,吴鹤群,2017
66,高校思想政治工作,浙江万里学院,辅导员骨干专项,自组织理论视域下高校学生理论社团活动项目化管理实证研究,陈彩祥,2017
67,高校思想政治工作,浙江万里学院,辅导员骨干专项,基于协同视角下的大学生创业指导服务机制研究,徐志强,2017
68,高校思想政治工作,中国石油大学（华东）,辅导员骨干专项,新媒体时代思想政治教育应对高校突发事件的作用研究,赵振华,2017
69,高校思想政治工作,中南财经政法大学,辅导员骨干专项,全过程育人、全方位育人背景下大学生情感教育研究,胡瑶,2017
70,高校思想政治工作,中山大学,辅导员骨干专项,新媒体环境下西方社会思潮对95后大学生的影响及对策研究,王燕芳,2017
