序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,法学,安徽理工大学,规划基金项目,转型社会司法热点案件的法社会学研究,莫良元,2013
2,法学,北京理工大学,规划基金项目,最低生活保障标准立法规范化研究,韩君玲,2013
3,法学,北京理工大学,规划基金项目,专利池在中国的构建和运营：理论与实践,曲三强,2013
4,法学,北京印刷学院,规划基金项目,文化（产业）法的基本理论问题研究,周艳敏,2013
5,法学,东华理工大学,规划基金项目,我国农村股份合作社法律问题研究,刘俊,2013
6,法学,东南大学,规划基金项目,双阶理论下政府采购体系化问题研究——基于法学和工程管理的双重视角,叶树理,2013
7,法学,对外经济贸易大学,规划基金项目,动产担保公示及其优先顺位规则研究,徐海燕,2013
8,法学,对外经济贸易大学,规划基金项目,保险消费者保护制度及实施研究,于海纯,2013
9,法学,福建师范大学,规划基金项目,人格权法中的“特殊主体”及其权益的特殊保护,张莉,2013
10,法学,福州大学,规划基金项目,美国气候变化诉讼研究,沈跃东,2013
11,法学,阜阳师范学院,规划基金项目,典卖制度研究——历史法学的视角,魏文超,2013
12,法学,复旦大学,规划基金项目,侵权责任法中的基本权利问题研究,刘志刚,2013
13,法学,甘肃政法学院,规划基金项目,风险社会语境下刑事政策的理性应对,郑高键,2013
14,法学,甘肃政法学院,规划基金项目,项目制视域中的预算公平问题研究——以政府间财政权力配置为线索,梁亚民,2013
15,法学,甘肃政法学院,规划基金项目,西部地区生态型反贫困法律保障研究,刘晓霞,2013
16,法学,广东警官学院,规划基金项目,法庭科学质量控制研究,王迪,2013
17,法学,广东商学院,规划基金项目,量刑规范化改革的实效、问题及对策研究——以广东、江苏两地实施细则及判例为样本,王联合,2013
18,法学,广东商学院,规划基金项目,碳泄漏问题及其法律规制研究,孟国碧,2013
19,法学,海南大学,规划基金项目,司法信息公开的理论探讨与制度构建,李荣珍,2013
20,法学,海南大学,规划基金项目,南海可利用无居民海岛资源开发法律问题研究,唐俐,2013
21,法学,海南大学,规划基金项目,国家管辖海域刑事管辖权研究,童伟华,2013
22,法学,杭州师范大学,规划基金项目,我国城市保障性住房管理的现状调查与法律制度完善,常传领,2013
23,法学,河北大学,规划基金项目,城镇化进程中的保障性住房建设政策法律问题研究,孟庆瑜,2013
24,法学,河南财经政法大学,规划基金项目,消费者合同研究——以《消费者权益保护法》的修改为背景,张良,2013
25,法学,河南大学,规划基金项目,清代河南上控案件司法运作研究,郭志祥,2013
26,法学,黑龙江八一农垦大学,规划基金项目,新城镇化背景下农村集体建设用地流转法律问题研究,马三喜,2013
27,法学,黑龙江大学,规划基金项目,中国民事主体制度的苏联移植与当代抉择,王春梅,2013
28,法学,湖南师范大学,规划基金项目,论科技创新市场的国家干预法律机制——基于克服市场失灵的视角,阳东辉,2013
29,法学,华东政法大学,规划基金项目,意思表示理论中的风险原则及我国民法典立法对策,杨代雄,2013
30,法学,华东政法大学,规划基金项目,附加福利课税法律制度研究——以完善个人所得税法调节收入分配功能为视角,陈少英,2013
31,法学,华南理工大学,规划基金项目,“营改增”试点扩围与国民收入分配正义价值的实现,张富强,2013
32,法学,华南师范大学,规划基金项目,文化权保障的国家义务研究,喻少如,2013
33,法学,华南师范大学,规划基金项目,行政执法解释的正当性研究,伍劲松,2013
34,法学,华侨大学,规划基金项目,国际经济秩序中的观念,钟付和,2013
35,法学,华侨大学,规划基金项目,私法与伦理：交融与距离——以私人自治为中心,兰仁迅,2013
36,法学,吉林大学,规划基金项目,消费者权利保护的主要规制技术研究,孙良国,2013
37,法学,暨南大学,规划基金项目,我国融资性担保公司法律问题研究,胡鹏翔,2013
38,法学,江苏技术师范学院,规划基金项目,税权的宪法控制研究,高军,2013
39,法学,江西财经大学,规划基金项目,转型中国的法律修改研究,易有禄,2013
40,法学,江西财经大学,规划基金项目,我国统一协议管辖制度的适用问题研究,王吉文,2013
41,法学,南昌大学,规划基金项目,我国进口食品安全监管法律问题及其对策研究,钟筱红,2013
42,法学,南华大学,规划基金项目,信息公开视域中的新闻立法问题研究,罗万里,2013
43,法学,南京大学,规划基金项目,刑事非法证据排除规则适用中的宪法原理研究,田芳,2013
44,法学,南京师范大学,规划基金项目,财产犯罪之间的界限与竞合研究,陈洪兵,2013
45,法学,南京晓庄学院,规划基金项目,国家公私产法律制度研究,李昌庚,2013
46,法学,南开大学,规划基金项目,我国外国法查明立法及其实施问题研究,孙建,2013
47,法学,山东大学,规划基金项目,刑事诉讼视域中的专门机关业绩考评制度,胡常龙,2013
48,法学,山东大学,规划基金项目,跨境救灾的国际法问题研究,姜世波,2013
49,法学,山东大学,规划基金项目,有限责任公司内部治理研究——以股东利益冲突解决机制为中心,耿利航,2013
50,法学,山东工商学院,规划基金项目,实然与应然——中国检察权对审判权的监督关系研究,姜起民,2013
51,法学,山东政法学院,规划基金项目,中国“基本法律”的体系化和科学化研究,李克杰,2013
52,法学,上海海事大学,规划基金项目,金融消费者权益保护研究——以金融机构的义务和民事责任为视角,胡文涛,2013
53,法学,首都师范大学,规划基金项目,基本义务的宪法界限与司法审查标准,郑贤君,2013
54,法学,苏州大学,规划基金项目,物权法与侵权法对占有的二元保护机制研究,章正璋,2013
55,法学,苏州大学,规划基金项目,共谋射程理论：共犯研究的一种新路径,王昭武,2013
56,法学,天津财经大学,规划基金项目,资本市场诚信法律制度研究,张路,2013
57,法学,天津师范大学,规划基金项目,生态文明制度保障视角下的城市地下空间规划法治研究,郭庆珠,2013
58,法学,天津师范大学,规划基金项目,经营者集中反垄断审查与企业创新：挑战及其制度因应,刘武朝,2013
59,法学,温州大学,规划基金项目,产业激励的反垄断边界研究,宾雪花,2013
60,法学,武汉大学,规划基金项目,证人、鉴定人出庭作证费用补偿制度研究,占善刚,2013
61,法学,西南政法大学,规划基金项目,“民刑交叉”问题的基本理论与践行机制研究——基于部门法复合研究的视角,刘沛谞,2013
62,法学,湘潭大学,规划基金项目,第三人撤销之诉研究,胡军辉,2013
63,法学,湘潭大学,规划基金项目,刑法修改与解释的限度关系论,黄明儒,2013
64,法学,烟台大学,规划基金项目,法定物权变动制度研究,房绍坤,2013
65,法学,扬州大学,规划基金项目,刑法公众认同研究,马荣春,2013
66,法学,云南大学,规划基金项目,法律人类学的理论与方法,张晓辉,2013
67,法学,浙江财经学院,规划基金项目,帝制中国法律统一适用保障机制研究,汪庆红,2013
68,法学,浙江工商大学,规划基金项目,民间借贷交易习惯的法社会学研究——以浙江温州为对象,郑万青,2013
69,法学,中国政法大学,规划基金项目,我国亲子鉴定现状及其法律规制研究,鲁涤,2013
70,法学,中国政法大学,规划基金项目,医疗过错与损害后果间因果关系中的原因力研究,张凤芹,2013
71,法学,中国政法大学,规划基金项目,人格权及其救济制度研究,尹志强,2013
72,法学,中南财经政法大学,规划基金项目,和平崛起背景下中国对外单边经济制裁法律问题研究,简基松,2013
73,法学,中南大学,规划基金项目,“以房养老”信托法律研究,张军建,2013
74,法学,中山大学,规划基金项目,论城市土地开发中的空间权问题,于海涌,2013
75,法学,中山大学,规划基金项目,先秦诸子法律思想的现代诠释,马作武,2013
76,法学,中央司法警官学院,规划基金项目,侦查取证行为规范化研究,胡志风,2013
77,法学,重庆三峡学院,规划基金项目,征收补偿、制度变迁与交易成本——以三峡移民为研究对象,黄东东,2013
78,法学,安徽大学,青年基金项目,近代中国治安处罚法规研究（1906—1949）,沈岚,2013
79,法学,北方民族大学,青年基金项目,法治视野下当代村落家族制度研究,易军,2013
80,法学,北京大学,青年基金项目,自杀关联型犯罪研究,车浩,2013
81,法学,北京交通大学,青年基金项目,云计算技术条件下知识产权问题研究,陈明涛,2013
82,法学,北京理工大学,青年基金项目,我国新能源法律制度完善与创新研究——基于智能电网发展的分析,龚向前,2013
83,法学,北京邮电大学,青年基金项目,跨国银行破产法律问题专论,苏洁澈,2013
84,法学,渤海大学,青年基金项目,海盗行为之国际法与国内法双重属性协调规制研究,马惊鸿,2013
85,法学,成都学院,青年基金项目,我国刑事庭前会议的实证研究与理论阐释,邓陕峡,2013
86,法学,对外经济贸易大学,青年基金项目,民法典视野下的不当得利制度研究——欧洲的经验与中国的选择,傅广宇,2013
87,法学,对外经济贸易大学,青年基金项目,消费者跨境电子商务争议解决机制研究,陈剑玲,2013
88,法学,对外经济贸易大学,青年基金项目,修辞学视野中的判决理由——基于中国实践的理论与实证研究,杨贝,2013
89,法学,对外经济贸易大学,青年基金项目,行政裁量的司法审查技术研究：基于中美经典判例的比较研究,郑雅方,2013
90,法学,福建师范大学,青年基金项目,多因不明侵权中比例责任理论及其司法适用,杨垠红,2013
91,法学,复旦大学,青年基金项目,促进低碳经济发展的绿色金融法律政策研究,李传轩,2013
92,法学,广东海洋大学,青年基金项目,公民住房权与房地产税法制度因应研究,刘升,2013
93,法学,广东金融学院,青年基金项目,国家重建——东周法律变革新论,姚志伟,2013
94,法学,广东商学院,青年基金项目,中国特色宪法实施机制研究：协商民主的视角,戴激涛,2013
95,法学,广东石油化工学院,青年基金项目,契约理论视域下环境法上“生态人”模式之形塑,马波,2013
96,法学,广西财经学院,青年基金项目,云计算背景下数字出版产业法律保障机制研究——以交易规则的构建为基础,陈琛,2013
97,法学,广西大学,青年基金项目,FTA投资规则中的资本转移条款研究,罗传钰,2013
98,法学,广州大学,青年基金项目,"女性主义法学社会性别论探究---以""流派嬗变""为主线",曹智,2013
99,法学,桂林电子科技大学,青年基金项目,人权视阈下的《反假冒贸易协议》研究,高兰英,2013
100,法学,哈尔滨工业大学,青年基金项目,多元治理语境下公民网络政治参与权的实现,侯瑞雪,2013
101,法学,河南财经政法大学,青年基金项目,著作权规范模式演进问题研究,许辉猛,2013
