序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,工程科技人才培养研究,北京化工大学,专项任务项目,面向化工行业全生命周期工程实践能力培养体系的探索与实践,任新钢,2016
2,工程科技人才培养研究,北京科技大学,专项任务项目,冶金行业卓越工程师培养通用标准及指标体系研究,薛庆国,2016
3,工程科技人才培养研究,大连理工大学,专项任务项目,国内工科大学生创造力评价模型及提升路径研究,张小钢,2016
4,工程科技人才培养研究,大连理工大学,专项任务项目,依托“三创”实践基地培养工程人才创造力的实践研究,付冬娟,2016
5,工程科技人才培养研究,华北电力大学,专项任务项目,基于互联网重构战略性新兴产业专业人才培养体系的研究—以新能源科学与工程专业为例,杨世关,2016
6,工程科技人才培养研究,吉林大学,专项任务项目,“互联网＋”与“工程教育认证标准”相融合的工程科技人才培养研究,孙宝凤,2016
7,工程科技人才培养研究,江苏理工学院,专项任务项目,面向＂中国制造2025＂的机械专业人才中职-本科-专业硕士衔接培养体系研究,叶霞,2016
8,工程科技人才培养研究,金陵科技学院,专项任务项目,基于网络学习社区的“四导向一改进”软件工程专业应用型人才培养模式的研究,曾岳,2016
9,工程科技人才培养研究,南京师范大学,专项任务项目,基于目标导向的工程人才创造力提升路径研究,白俊红,2016
10,工程科技人才培养研究,南京信息工程大学,专项任务项目,“互联网+”背景下工程科技人才培养的范式变革与实践探索,张永宏,2016
11,工程科技人才培养研究,清华大学,专项任务项目,基于“中国制造2025”创新网络的工程科技人才培养机制与路径研究,周源,2016
12,工程科技人才培养研究,山东理工大学,专项任务项目,基于“互联网+”思维的工程人才混合式培养模式研究,刘爱芳,2016
13,工程科技人才培养研究,温州医科大学,专项任务项目,临床医学专业学位研究生培养的组织协同研究—基于“医教协同”的背景,郑飞中,2016
14,工程科技人才培养研究,武汉大学,专项任务项目,面向“中国制造2025”的我国硕士层次工程教育认证的指标体系构建研究,王传毅,2016
15,工程科技人才培养研究,浙江大学,专项任务项目,面向中国制造2025的工程设计创新人才培养路径研究,邹晓东,2016
16,工程科技人才培养研究,重庆大学,专项任务项目,面向工程全生命周期的工程管理人才培养体系研究,杨宇,2016
