序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,高校思想政治工作,北京工商大学,一类课题,高校思想政治理论课在应对宗教渗透中的作用发挥机制研究,姚洪越,2016
2,高校思想政治工作,钦州学院,一类课题,“互联网+”时代大学生网络美育问题及其实现路径研究,周玫,2016
3,高校思想政治工作,东北大学,一类课题,中国近现代百年青年政治信仰轨迹发展探究,孙璐,2016
4,高校思想政治工作,浙江师范大学,一类课题,社会主义核心价值观有机融入大学生核心素养体系研究,王建力,2016
5,高校思想政治工作,辽宁工业大学,一类课题,心理健康教育提升大学生思想政治教育质量的功能研究,张卫平,2016
6,高校思想政治工作,宁波大红鹰学院,一类课题,民办高校“五位一体”基层党建工作机制研究,林长兴,2016
7,高校思想政治工作,南方科技大学,一类课题,积极心理学导向的高校心理健康预防体系建设研究,杨再勇,2016
8,高校思想政治工作,荆楚理工学院,一类课题,国家意识形态安全视域下的我国当代大学生政治信仰教育研究,周军虎,2016
9,高校思想政治工作,湖北医药学院,一类课题,高校践行社会主义核心价值观长效机制研究,汤玉红,2016
10,高校思想政治工作,浙江大学宁波理工学院,一类课题,面向大学生的社会主义核心价值观“微化”研究,陈立明,2016
11,高校思想政治工作,重庆文理学院,一类课题,社会主义核心价值观分段教育认同研究——基于青少年成长过程视域,杨启莲,2016
12,高校思想政治工作,沈阳建筑大学,一类课题,优秀网络文化成果认定机制研究,杜晶波,2016
13,高校思想政治工作,武汉职业技术学院,一类课题,高职学生职业道德教育现状调查与评价指标体系研究,王秋梅,2016
14,高校思想政治工作,金陵科技学院,一类课题,高校思政课U-Learning环境下的有效教学模型构建及其实现,杨琴,2016
15,高校思想政治工作,海口经济学院,一类课题,民办高校基层党建工作机制研究,吴克勤,2016
16,高校思想政治工作,云南农业大学,一类课题,民族地区高校意识形态建设对策研究,朱圆,2016
17,高校思想政治工作,沈阳农业大学,一类课题,高校大学生心理健康问题预防体系构建机制的研究,许晓辉,2016
18,高校思想政治工作,无锡科技职业学院,一类课题,大学生马克思主义素养测评体系研究,沈卫,2016
19,高校思想政治工作,中国人民大学,一类课题,“互联网+”条件下提升大学生马克思主义理论教育实效性问题研究,布超,2016
20,高校思想政治工作,武汉科技大学,二类课题,高校实践育人制度化科学化常态化机制研究,文大稷,2016
21,高校思想政治工作,湖南工学院,二类课题,自媒体时代大学生心理危机预警与干预研究,陈健,2016
22,高校思想政治工作,浙江大学宁波理工学院,二类课题,大数据方法融入学生思想政治教育全过程研究,沈斌,2016
23,高校思想政治工作,皖南医学院,二类课题,“微时代”高校社会主义核心价值观教育落实研究,郭超,2016
24,高校思想政治工作,中国政法大学,二类课题,高校思想政治理论课CMPCL教学法研究,赵卯生,2016
25,高校思想政治工作,武汉大学,二类课题,当代大学生社会主义核心价值观认同障碍及化解机制研究——以武汉地区7所高校为例,周尤正,2016
26,高校思想政治工作,曲阜师范大学,二类课题,儒家优秀文化融入大学生思想政治教育路径研究,宋秀娟,2016
27,高校思想政治工作,中国民航大学,二类课题,基于社群理论的高校网络文化型社团创新发展研究,杨俊杰,2016
28,高校思想政治工作,湖南文理学院,二类课题,科学无神论与我国高校文化安全研究,张彤磊,2016
29,高校思想政治工作,东北大学,二类课题,思想政治教育审美力研究,闫研,2016
30,高校思想政治工作,广东海洋大学,二类课题,高校辅导员职业能力提升路径与方法研究,肖晓哲,2016
31,高校思想政治工作,皖南医学院,二类课题,积极心理学在大学生网络诚信教育中的应用研究,张婧,2016
32,高校思想政治工作,湖南师范大学,二类课题,大学生社会主义核心价值观认同教育的评价指标体系研究,邓敏,2016
33,高校思想政治工作,辽宁工程技术大学,二类课题,大数据背景下高校学生发展性素质评价创新研究,王耕,2016
34,高校思想政治工作,浙江旅游职业学院,二类课题,“微观叙事”视阈下高校思政理论课有效性研究,桑华月,2016
35,高校思想政治工作,南京工业大学,二类课题,构建工科院校专业教师与思政工作者实践育人体系的协同研究,周一帆,2016
36,高校思想政治工作,北方工业大学,二类课题,高校意识形态教育话语体系的生成、转换及传播设计研究,钱昌照,2016
37,高校思想政治工作,吉林农业大学,二类课题,高校思想政治教育中的大学生文化资本研究,徐永健,2016
38,高校思想政治工作,重庆理工大学,二类课题,大学生思想传播模型与动力学特性研究,张光建,2016
39,高校思想政治工作,广西大学行健文理学院,二类课题,以文化人在大学生社会主义核心价值观宣传教育实践中的运用研究,莫锋,2016
40,高校思想政治工作,浙江医学高等专科学校,二类课题,当代大学生马克思主义理论素养现状及教育对策研究,胡祖凤,2016
41,高校思想政治工作,四川师范大学,二类课题,高校国家安全教育体系构建,李妮,2016
42,高校思想政治工作,浙江万里学院,二类课题,传播学视域下网络语言的特征及发展规律研究,王秋艳,2016
43,高校思想政治工作,长沙学院,二类课题,大学生网络偏差行为的心理危机预防平台构建,姜巧玲,2016
44,高校思想政治工作,电子科技大学,二类课题,高校思政教育中大数据运用及其法律风险防控研究,徐岩,2016
45,高校思想政治工作,哈尔滨师范大学,二类课题,大学生网络思想意识的悖论性样态及思想政治教育模式研究,王琰,2016
46,高校思想政治工作,东北财经大学,二类课题,专业教师与思想政治教育工作者协同育人机制研究,赵亮,2016
47,高校思想政治工作,四川大学,二类课题,大学生诚信教育体系建设研究,吴宇,2016
48,高校思想政治工作,北京农学院,二类课题,基于积极心理学视野下的大学生职业生涯规划研究,李有玉,2016
49,高校思想政治工作,丽水学院,二类课题,社会资本视域下产学研合作创业教育研究,王昀,2016
50,高校思想政治工作,广东医学院,二类课题,研究生心理健康教育方法与路径研究——心理健康双因素模型的视角,禹玉兰,2016
51,高校思想政治工作,山东政法学院,二类课题,基于胜任素质模型构建下的高校辅导员培养机制研究,王传刚,2016
52,高校思想政治工作,淮阴师范学院,二类课题,接受视阈下大学生社会主义核心价值观培育研究,陆林召,2016
53,高校思想政治工作,江南大学,二类课题,大学生价值观变迁视野下的高校思想政治教育话语体系创新研究,杨飏,2016
54,高校思想政治工作,上海立信会计学院,二类课题,大学生诚信教育体系建设研究,王妍,2016
55,高校思想政治工作,新疆财经大学,二类课题,新疆大学生思想特点与发展趋势研究,李晓曼,2016
56,高校思想政治工作,山东科技大学,二类课题,大数据时代网络舆情与高校应对策略研究,刘强,2016
