序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,法学,石河子大学,规划基金项目,清代南疆维吾尔社会的权力结构与赋税法运行研究（1759—1884）,李德政,2014
2,法学,新疆警察学院,规划基金项目,上海合作组织框架下的刑事司法合作路径探究,蒋秀兰,2014
3,法学,新疆财经大学,青年基金项目,新疆违法流浪儿童预防、救助、回归研究,左晶,2014
4,法学,新疆大学,青年基金项目,社会地理空间差异背景下新疆三城区离婚诉讼的比较研究,肖建飞,2014
5,法学,新疆大学,青年基金项目,新疆毒品犯罪实证分析及对策研究,罗钢,2014
6,管理学,石河子大学,规划基金项目,新疆地区企业社会责任与和谐社会关系研究,买生,2014
7,管理学,新疆财经大学,规划基金项目,市场化程度、激励强度对公司成长的作用效力研究,王海燕,2014
8,管理学,新疆财经大学,青年基金项目,理想主义与功利主义：企业双元价值观平衡与绩效关系研究,马晓苗,2014
9,管理学,新疆财经大学,青年基金项目,制度背景、管理者权力与公司投资效率研究,姚曦,2014
10,交叉学科/综合研究,新疆财经大学,规划基金项目,维吾尔语水平测试研究与应用,贾志先,2014
11,交叉学科/综合研究,昌吉学院,青年基金项目,建国以来民汉交互与国家认同中新疆视觉形像建构的图像学研究,杨树文,2014
12,交叉学科/综合研究,昌吉学院,青年基金项目,比较文学形象学视野下的上古西域形象研究,陈强,2014
13,交叉学科/综合研究,石河子大学,青年基金项目,文化认同视角下新疆维、哈、蒙、柯少数民族双语学习者宗教信仰现状与对策研究,杨小艳,2014
14,交叉学科/综合研究,石河子大学,青年基金项目,少数民族地区农村最低生活保障与扶贫对象动态管理机制研究——基于新疆的调查,强国民,2014
15,交叉学科/综合研究,塔里木大学,青年基金项目,南疆流动人口对民族关系影响的调查研究,晁伟鹏,2014
16,交叉学科/综合研究,新疆师范大学,青年基金项目,新疆焉耆盆地生态安全研究,韩炜,2014
17,交叉学科/综合研究,新疆医科大学,青年基金项目,清代西域文学地图数字分析平台构建与研究,蒋英,2014
18,交叉学科/综合研究,新疆医科大学,青年基金项目,涌现论视角下的新疆高校少数民族学生英语句法结构习得与心理加工机制研究,魏亚丽,2014
19,教育学,乌鲁木齐职业大学,规划基金项目,新疆民族地区职业教育与产业对接改革实践研究,汪长明,2014
20,教育学,新疆警察学院,规划基金项目,新疆反恐警务实战人才培养模式创新研究,王涛,2014
21,教育学,伊犁师范学院,规划基金项目,多元文化视域下新疆哈萨克族大学生跨文化交际能力培养研究,吴若愚,2014
22,教育学,石河子大学,青年基金项目,家庭资本对新疆高校学生就业认知影响的调查研究,张明,2014
23,教育学,石河子大学,青年基金项目,本土文化视阈下新疆民族地区校本课程开发与实践,杨淑萍,2014
24,教育学,新疆师范大学,青年基金项目,新疆少数民族双语教师培训中的文化适应问题研究,马文,2014
25,教育学,新疆师范大学,青年基金项目,新疆地方手势的田野调查及其语料库建设研究,贾玲,2014
26,教育学,新疆师范大学,青年基金项目,新疆少数民族高等教育入学机会调查研究----基于家庭背景的分析,多强,2014
27,经济学,石河子大学,青年基金项目,中国新疆与中亚及周边国家跨境人民币业务发展问题研究,高岩,2014
28,马克思主义/思想政治教育,新疆大学,规划基金项目,新疆少数民族大学生主流意识形态认同现状及培育路径研究,亚里坤·买买提亚尔,2014
29,民族学与文化学,石河子大学,规划基金项目,新疆少数民族聚居区青少年辍学问题调查研究,雍会,2014
30,民族学与文化学,石河子大学,青年基金项目,新疆民汉合校背景下的维汉文化适应研究,赵福君,2014
31,民族学与文化学,新疆财经大学,青年基金项目,新疆少数民族闲散青少年就业问题研究,井西晓,2014
32,体育科学,新疆农业职业技术学院,规划基金项目,以职业核心能力和职业核心价值观为导向的新疆高职体育课程建设与推广研究,王建军,2014
33,体育科学,新疆师范大学,青年基金项目,新时期优化我国青少年体质健康评价标准研究,高刚,2014
34,新闻学与传播学,新疆大学,青年基金项目,“新疆民族关系”媒体舆论引导研究,胡小青,2014
35,新闻学与传播学,新疆轻工职业技术学院,青年基金项目,麦西来甫数字化资源库建设与研究,李彩霞,2014
36,艺术学,新疆师范大学,规划基金项目,伊犁河流域哈萨克族音乐生活与生态研究,莱再提·克里木别克,2014
37,艺术学,新疆大学,青年基金项目,城市化进程中喀什地区维吾尔族民居室内空间变化研究,翟宇,2014
38,艺术学,新疆大学,青年基金项目,新疆少数民族传统足衣非物质文化遗产“生产性保护”策略研究,刘金莲,2014
39,艺术学,新疆师范大学,青年基金项目,新疆维吾尔族传统木雕家具艺术研究,郭文礼,2014
40,艺术学,新疆师范高等专科学校,青年基金项目,新疆喀什中小学美术教师继续教育现状及发展策略,王娜,2014
41,语言学,伊犁师范学院,规划基金项目,锡伯语言文字对满语言文字的继承发展规律研究,文静,2014
42,语言学,伊犁师范学院,规划基金项目,新疆少数民族母语（L1）与汉语（L2）对其英语（L3）的影响—以请求言语行为为例,刘惠萍,2014
43,语言学,昌吉学院,青年基金项目,MHK在新疆高校的实证性调查及后效研究,马静,2014
44,语言学,喀什师范学院,青年基金项目,维吾尔语句际关系研究,张美涛,2014
45,语言学,新疆大学,青年基金项目,中亚留学生汉语学习动机减退研究,周颖,2014
46,语言学,新疆大学,青年基金项目,新疆少数民族政府劳务输出人员汉语水平调查--以喀什、和田地区维吾尔族为例,姜涛,2014
47,哲学,新疆师范大学,青年基金项目,西部地区少数民族文化中的生态与反生态思想研究,卢艳玲,2014
48,中国文学,石河子大学,青年基金项目,当代流寓新疆作家的体验与表达,胡新华,2014
