序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,马克思主义/思想政治教育,新疆农业大学,青年基金项目,境外宗教极端思想渗透新疆少数民族大学生群体的实证调查及对策建议,阿布地哈力克·吉热拉,2016
2,语言学,新疆大学,规划基金项目,语篇理论下的汉语写作教学模式及评估体系构建研究,尹桂丽,2016
3,语言学,新疆大学,青年基金项目,基于语料库的维吾尔语词语搭配研究,塞麦提·麦麦提敏,2016
4,语言学,新疆师范大学,青年基金项目,基于异构数据源的开放式维吾尔语语义知识库构建研究,杨勇,2016
5,中国文学,新疆大学,规划基金项目,多元文化视阈下的中国哈萨克阿肯阿依特斯之语言研究,帕提曼·比都拉,2016
6,中国文学,新疆师范大学,青年基金项目,民国时期新疆汉语文学研究,潘丽,2016
7,中国文学,伊犁师范学院,青年基金项目,文化诗学视域下的清代新疆流人诗文研究,梁新荣,2016
8,中国文学,伊犁师范学院,青年基金项目,生态美学视阈下的锡伯族文学研究,崔悦,2016
9,艺术学,新疆艺术学院,规划基金项目,新疆回鹘佛教美术,李云,2016
10,艺术学,昌吉学院,青年基金项目,“一带一路”战略下新疆区域形象视觉传达策略研究,黄伟斌,2016
11,艺术学,石河子大学,青年基金项目,基于图像学和元数据的哈萨克族传统图案元素分类体系构建研究,李钦曾,2016
12,艺术学,石河子大学,青年基金项目,地域文化语境下的新疆伊斯兰建筑艺术的现代性转译,舒梅娟,2016
13,艺术学,石河子大学,青年基金项目,新疆兵团音乐口述史料研究,张弫,2016
14,历史学,新疆农业大学,青年基金项目,新疆小麦种植与传播史研究,李志强,2016
15,社会学,新疆师范大学,规划基金项目,新疆嵌入式社会宏微观演变机理与治理机制研究,黄佛君,2016
16,社会学,石河子大学,青年基金项目,新疆少数民族非正规就业群体社会保障研究,武晓雯,2016
17,民族学与文化学,和田师范专科学校,规划基金项目,维吾尔族传统儿童游戏及其儿童的教育研究,亚力坤·吐松尼牙孜,2016
18,教育学,新疆师范高等专科学校,规划基金项目,丝绸之路经济带视野下新疆高职旅游人才培养模式研究,李秀花,2016
19,教育学,新疆艺术学院,规划基金项目,新疆本土音乐文化和现代音乐教育的融合研究,刘洋君,2016
20,教育学,昌吉学院,青年基金项目,新疆高校思想政治理论地方课程价值及其实现方式研究,刘文芳,2016
21,教育学,新疆师范大学,青年基金项目,新疆地区少数民族残疾人生涯就业转衔研究,王苗苗,2016
22,教育学,新疆师范大学,青年基金项目,新疆高校民汉双语翻译人才培养模式研究,李慧慧,2016
23,体育科学,新疆大学,青年基金项目,新疆公共体育服务均等化与维护社会稳定关系研究,孙忠伟,2016
24,交叉学科/综合研究,新疆财经大学,规划基金项目,中国政府采购促进中小企业发展的政策效果评价与优化研究,王东,2016
25,交叉学科/综合研究,新疆师范大学,规划基金项目,新疆南疆少数民族中小学生中华优秀文化经典接受情况调查及对策分析,徐军华,2016
26,交叉学科/综合研究,新疆师范高等专科学校,规划基金项目,新疆新丝路核心区下物流中心的迁移模型研究,王东,2016
27,交叉学科/综合研究,新疆职业大学,规划基金项目,现代职业教育集团背景下焙烤食品加工技术现代学徒制教育研究,陈运生,2016
28,交叉学科/综合研究,石河子大学,青年基金项目,新疆兵团移民群体汉语方言接触演变调查研究,刘涛,2016
