序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,马克思主义/思想政治教育,玉林师范学院,规划基金项目,“共享发展”理念下西部民族地区医疗公正的理论建构和实现路径研究,李杰,2016
2,马克思主义/思想政治教育,内蒙古师范大学,青年基金项目,新自由主义的意识形态性及其对中国的影响研究,云莉,2016
3,马克思主义/思想政治教育,延边大学,青年基金项目,青年学生信仰形成与教育机制研究,封莎,2016
4,哲学,贵州财经大学,规划基金项目,虞翻易学伦理思想研究,文平,2016
5,哲学,西北师范大学,青年基金项目,马一浮儒佛会通思想研究,李永亮,2016
6,哲学,西南政法大学,青年基金项目,史观与美学理论更新路径研究,杨一博,2016
7,语言学,昆明学院,规划基金项目,《资治通鉴释文》音系研究,邓强,2016
8,语言学,长江师范学院,规划基金项目,韩礼德的新马克思主义语言研究取向,何远秀,2016
9,语言学,广西大学,青年基金项目,广西博白粤客方言接触与演变研究,刘莉,2016
10,语言学,河西学院,青年基金项目,河西走廊特色旅游资源整理及外宣研究,李玉婷,2016
11,语言学,兰州财经大学,青年基金项目,二语习得中频次效应对学习者言语产出影响机制的研究,杜娟,2016
12,语言学,内蒙古大学,青年基金项目,面向语言信息处理的蒙古文同形词研究,淑琴,2016
13,语言学,四川理工学院,青年基金项目,禅宗语用研究,陈家春,2016
14,语言学,四川民族学院,青年基金项目,语言接触视角下四川康定地区汉语方言古入声演变的历史层次,卫勤,2016
15,语言学,西安外国语大学,青年基金项目,晚清民国常用词兴替与汉民族共同语词汇的形成,刘曼,2016
16,语言学,西安外国语大学,青年基金项目,基于接受美学的中国两千年术语音译嬗变疏理,石小梅,2016
17,语言学,重庆交通大学,青年基金项目,GBP理论视域下的大学英语课程建设与教师发展同构模式研究,李翠英,2016
18,中国文学,天水师范学院,规划基金项目,周作人对中国传统文学的发现与转化,郭文元,2016
19,中国文学,西南大学,规划基金项目,鸳鸯蝴蝶派的趣味机制研究,胡安定,2016
20,中国文学,川北医学院,青年基金项目,人文地理学视野下的晚明游记研究,邹定霞,2016
21,中国文学,电子科技大学,青年基金项目,《墨子》现有英译文本中文化变异现象的研究,聂韬,2016
22,中国文学,昆明理工大学,青年基金项目,布拉格学派美学理论重估研究,杨磊,2016
23,中国文学,内蒙古民族大学,青年基金项目,鄂伦春族神话分类研究,杨金戈,2016
24,中国文学,西北大学,青年基金项目,地理空间与唐代僧侣文学研究,邵颖涛,2016
25,中国文学,西北大学,青年基金项目,桐城派诗歌选本研究,王松涛,2016
26,中国文学,长安大学,青年基金项目,中国现代文学期刊中的英国文学译介研究（1917-1937）,乔艳,2016
27,中国文学,遵义师范学院,青年基金项目,现代中国知识界的“红学热”研究,陈荣阳,2016
28,艺术学,广西艺术学院,规划基金项目,桂林抗战音乐编年史(1937-1944),李莉,2016
29,艺术学,四川大学,规划基金项目,当代艺术的传媒属性与艺术学刊的责任,吴永强,2016
30,艺术学,梧州学院,规划基金项目,瑶族民歌歌唱语言研究,黄钰婷,2016
31,艺术学,四川美术学院,青年基金项目,当代中国城市雕塑美学研究,骆玉平,2016
32,历史学,兰州城市学院,规划基金项目,清代甘肃科举文献的收集、整理与研究,陈尚敏,2016
33,历史学,陕西师范大学,规划基金项目,出土简帛文献与中国早期术数信仰研究,吕亚虎,2016
34,历史学,四川理工学院,规划基金项目,宋育仁经学著作整理研究,黄宗凯,2016
35,历史学,电子科技大学,青年基金项目,空间生产与近代中国民族主义,朱晶,2016
36,历史学,广西交通职业技术学院,青年基金项目,鼎革·变迁·融合：清至民国广西县级行政与地方基层社会治理研究,薛辉,2016
37,历史学,陕西理工学院,青年基金项目,蜀道历史地理信息系统,李小燕,2016
38,历史学,西北大学,青年基金项目,阿富汗国家治理中的部落问题研究,闫伟,2016
39,经济学,昆明学院,规划基金项目,人民币国际化进程中的资本账户开放路径系统切换及效应分析,杨荣海,2016
40,经济学,内蒙古化工职业学院,规划基金项目,草原适度规模经营与草原生态补偿机制研究,刘玉霞,2016
41,经济学,西安建筑科技大学,规划基金项目,PPP模式下准经营性项目产品定价研究,郭斌,2016
42,经济学,西北农林科技大学,规划基金项目,“互联网+”背景下苹果种植户安全生产行为研究：交易成本、农户认知与行为决策,刘天军,2016
43,经济学,西北农林科技大学,规划基金项目,农业人力资本投资供给侧改革影响因素及模式创新研究—以西北5省新型经营主体为例,刘超,2016
44,经济学,西南财经大学,规划基金项目,中国保险业系统性风险生成机理、评估及宏观审慎监管研究,徐华,2016
45,经济学,西南财经大学,规划基金项目,集体腐败行为理论与实验研究：基于组织结构和偏好合成的视角,雷震,2016
46,经济学,西南大学,规划基金项目,我国农村金融服务能力建设及实现机制研究,胡士华,2016
47,经济学,长江师范学院,规划基金项目,中国丘陵地区农业适度规模经营问题研究,范云峰,2016
48,经济学,重庆工商大学,规划基金项目,中国财政赤字的全要素生产率增长效应及政策研究,刘伟,2016
49,经济学,成都学院,青年基金项目,工商资本投资农业的风险防范机制研究,张尊帅,2016
50,经济学,广西大学,青年基金项目,广西民族地区贫困农户的风险偏好：风险约束缓解与精准脱贫研究,陈新建,2016
51,经济学,内蒙古农业大学,青年基金项目,环境约束条件下农户畜禽养殖适度规模决策研究——以蛋鸡为例,侯国庆,2016
52,经济学,西南财经大学,青年基金项目,劳动力市场正选匹配对家庭收入差距及储蓄行为的影响研究,徐舒,2016
53,经济学,西南财经大学,青年基金项目,区域间隐性税收竞争：测度、机制与效应,陈隆近,2016
