序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,马克思主义/思想政治教育,安徽科技学院,规划基金项目,社会主义核心价值观融入农民日常生活研究,王方友,2016
2,马克思主义/思想政治教育,北京师范大学,规划基金项目,教师誓词研究,方增泉,2016
3,马克思主义/思想政治教育,成都理工大学,规划基金项目,在四川藏区开展精准思想政治教育方法路径研究,夏达,2016
4,马克思主义/思想政治教育,佛山科学技术学院,规划基金项目,网络文化异化境遇下大学生虚拟生存的社会责任践行研究,林瑞青,2016
5,马克思主义/思想政治教育,广东财经大学,规划基金项目,马克思主义中国化的世界向度研究,仇小敏,2016
6,马克思主义/思想政治教育,合肥工业大学,规划基金项目,“多元互动”式大学生社会实践育人理念创新与机制构建,檀江林,2016
7,马克思主义/思想政治教育,河北师范大学,规划基金项目,欧美“波普享乐主义”对我国的危害与对策,程立涛,2016
8,马克思主义/思想政治教育,湖南工业大学,规划基金项目,马克思利益机制思想视域下共享发展研究,龙迎伟,2016
9,马克思主义/思想政治教育,华东师范大学,规划基金项目,香港地区大学生国家认同的影响因素与提升路径研究,陈正桂,2016
10,马克思主义/思想政治教育,淮阴师范学院,规划基金项目,习近平总书记党员干部思想教育理论研究,赵国付,2016
11,马克思主义/思想政治教育,吉林大学,规划基金项目,共享发展理念的马克思主义分配正义理论溯源与创新研究,罗克全,2016
12,马克思主义/思想政治教育,吉林大学,规划基金项目,“绿色发展”理念引领下的生态价值观养成研究,张敏,2016
13,马克思主义/思想政治教育,江南大学,规划基金项目,中国纪检监察派驻机构管理模式创新研究,鞠连和,2016
14,马克思主义/思想政治教育,九江学院,规划基金项目,当代中国社会风气的守与变,李玉林,2016
15,马克思主义/思想政治教育,南昌师范学院,规划基金项目,高校思想政治工作日常叙事的结构分析与效用模型建设研究,向绪伟,2016
16,马克思主义/思想政治教育,南京大学,规划基金项目,孙中山形象与中华民族认同研究,李恭忠,2016
17,马克思主义/思想政治教育,南京理工大学,规划基金项目,环境道德教育与生态文明建设互动机制研究,朱国芬,2016
18,马克思主义/思想政治教育,南京农业大学,规划基金项目,大学生村官“讲好中国扶贫故事”研究,吴国清,2016
19,马克思主义/思想政治教育,南开大学,规划基金项目,改革开放以来思想政治教育学术史研究,武东生,2016
20,马克思主义/思想政治教育,青岛大学,规划基金项目,社会主义核心价值观融入大学生信仰教育研究,林希玲,2016
21,马克思主义/思想政治教育,厦门大学,规划基金项目,马克思主义道德观与道德相对主义批判,杨胜良,2016
22,马克思主义/思想政治教育,山东师范大学,规划基金项目,红四方面军长征史相关问题研究,董振平,2016
23,马克思主义/思想政治教育,深圳职业技术学院,规划基金项目,创新与共享视域下“思政”课新型教学模式实践探索研究,孙剑坪,2016
24,马克思主义/思想政治教育,沈阳航空航天大学,规划基金项目,推进国家治理现代化的价值观视角研究,王秀华,2016
25,马克思主义/思想政治教育,沈阳师范大学,规划基金项目,当代中国社会主义“资本”实践的合法性研究,刘润,2016
26,马克思主义/思想政治教育,天津理工大学,规划基金项目,转型期中国社会心态失衡现象研究,张九海,2016
27,马克思主义/思想政治教育,西安理工大学,规划基金项目,后马克思主义符号消费的意识形态批判研究,李军学,2016
28,马克思主义/思想政治教育,信阳农林学院,规划基金项目,“互联网+”条件下社会主义核心价值观认同机制与引领路经研究,敖翔,2016
29,马克思主义/思想政治教育,盐城师范学院,规划基金项目,中国绿色发展理念与国际认同研究,徐海红,2016
30,马克思主义/思想政治教育,长江师范学院,规划基金项目,湘鄂渝黔边民族地区红军遗址资源的调查、开发与利用研究,项福库,2016
31,马克思主义/思想政治教育,浙江大学,规划基金项目,高校心理健康教育与思想政治教育结合30年得失研究,马建青,2016
32,马克思主义/思想政治教育,中南民族大学,规划基金项目,仪式与认同：节庆文化中的价值观教育研究,曾红宇,2016
33,马克思主义/思想政治教育,安庆师范学院,青年基金项目,大学生思想政治教育整体性协同机制研究,邹斌,2016
34,马克思主义/思想政治教育,安庆师范学院,青年基金项目,激活与创新：中华元素与社会主义文化产业的建构,陈志超,2016
35,马克思主义/思想政治教育,北京科技大学,青年基金项目,当代中国互联网主流意识形态话语权建构研究,李江静,2016
36,马克思主义/思想政治教育,北京联合大学,青年基金项目,海外“中国崩溃论”的应对问题研究,刘佳,2016
