序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,工程科技人才培养研究,北京邮电大学,专项任务项目,面向行业的校企协同创新培养工程博士机制研究,王亚杰,2014
2,工程科技人才培养研究,中国石油大学,专项任务项目,以职业能力为导向的全日制工程硕士培养标准及培养体系研究,吴小林,2014
3,工程科技人才培养研究,河海大学,专项任务项目,基于利益相关者理论的工程硕士校企协同培养机制实践研究,沈金荣,2014
4,工程科技人才培养研究,江苏理工学院,专项任务项目,硕士专业学位研究生企业实践模式与改革创新研究,贝绍轶,2014
5,工程科技人才培养研究,新疆财经大学,专项任务项目,少数民族工程类高端人才培养质量的过程控制研究—构建跟踪导学与量化学习指标体系,祖拉提·力提甫,2014
6,工程科技人才培养研究,江苏理工学院,专项任务项目,“新四化”视域下现代职业教育体系中工程类专业课程建设研究,董晓英,2014
7,工程科技人才培养研究,黄河科技学院,专项任务项目,高职院校举办体制改革研究——以河南省高职院校为例,袁伟,2014
8,工程科技人才培养研究,汕头大学,专项任务项目,工科教师教学学术评价模型及其强化策略研究—以CDIO试点工作组高校为例,包能胜,2014
9,工程科技人才培养研究,安徽工业大学,专项任务项目,超契约理论视角下工科院校教师激励机制研究,王先柱,2014
10,工程科技人才培养研究,北京邮电大学,专项任务项目,北京市理工类高校实验教师队伍发展策略的研究,范姣莲,2014
11,工程科技人才培养研究,湖南商学院,专项任务项目,服务外包校企合作对高校教师队伍建设的影响因素及对策研究,余绍黔,2014
12,工程科技人才培养研究,我国高等工程教育布局与产业发展协同对接的主要障碍、系统性机制及发展模式研究,专项任务项目,武汉大学,范如国,2014
13,工程科技人才培养研究,华中科技大学,专项任务项目,校企深度融合的信息产业“自主可控”人才培养模式研究与实践,秦磊华,2014
14,工程科技人才培养研究,合肥工业大学,专项任务项目,高等工程教育布局结构与产业结构协同发展的理论和实证研究,王章豹,2014
15,工程科技人才培养研究,中国矿业大学,专项任务项目,我国高等工程教育对新能源产业发展的协同与响应机制研究,龙如银,2014
16,工程科技人才培养研究,同济大学,专项任务项目,我国制造业转型升级背景下高等工程教育布局研究,赵海峰,2014
17,工程科技人才培养研究,燕山大学,专项任务项目,地方高等工程教育布局与产业发展对接问题的研究,傅万堂,2014
18,工程科技人才培养研究,桂林电子科技大学,专项任务项目,适应北部湾经济区产业发展的广西高校工程类学科专业调整优化的研究与实践,邓义江,2014
19,工程科技人才培养研究,浙江大学,专项任务项目,国际工程教育发展评估研究,徐小洲,2014
20,工程科技人才培养研究,辽宁师范大学,专项任务项目,新型工业化背景下俄罗斯工程教育再造的机理与路径研究,杜岩岩,2014
21,工程科技人才培养研究,东南大学,专项任务项目,基础教育阶段加强工程技术教育的国际科学教育比较研究与实践,叶兆宁,2014
22,工程科技人才培养研究,成都学院,专项任务项目,创新型高端护理模拟项目开发实证研究,伍小飞,2014
23,工程科技人才培养研究,江苏师范大学,专项任务项目,服务国家甘薯产业技术体系特殊需求博士人才培养模式的创建与实践,李宗芸,2014
24,工程科技人才培养研究,温州医科大学,专项任务项目,基于岗位胜任力的农村及社区医学人才培养模式研究与实践,许冬武,2014
25,工程科技人才培养研究,山东农业工程学院,专项任务项目,基于工程范式的应用型本科农林人才培养体系研究,林松柏,2014
26,工程科技人才培养研究,新乡医学院,专项任务项目,以岗位胜任能力为核心的“卓越医生教育”教学设计研究,雒保军,2014
