序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,交叉学科/综合研究,新疆财经大学,青年基金项目,基于收益合理共享视角的新疆矿产资源成本补偿税费改革问题研究,陈维青,2013
2,交叉学科/综合研究,新疆工程学院,青年基金项目,二十世纪上半叶欧洲游记中的新疆形象与书写策略研究,张文瑜,2013
3,教育学,新疆大学,规划基金项目,区域性来华留学生教育发展研究--基于新疆的实证分析,海力古丽.尼牙孜,2013
4,教育学,新疆医科大学,规划基金项目,新疆高校民族学生大学语文教育的优化整合实践研究,王群,2013
5,教育学,喀什师范学院,青年基金项目,新疆南疆少数民族中小学生学科能力表现与培养策略研究,吴宏,2013
6,教育学,石河子大学,青年基金项目,基于教育现象学方法的新疆少数民族教师新课改阻抗研究,代瑞香,2013
7,教育学,石河子大学,青年基金项目,新疆学前双语教师职业准入制度研究,李攀,2013
8,教育学,伊犁师范学院,青年基金项目,新疆免费师范生教师专业身份认同的现状与建构策略研究,谢淑海,2013
9,经济学,新疆财经大学,青年基金项目,新疆多维益贫式增长判断及路径选择,张庆红,2013
10,历史学,塔里木大学,规划基金项目,新疆中原华夏文化资源的数字化研究与传承,廖肇羽,2013
11,逻辑学,新疆应用职业技术学院,规划基金项目,哈萨克雄辩词的逻辑基础,节肯·哈吾提,2013
12,马克思主义/思想政治教育,喀什师范学院,规划基金项目,新疆少数民族大学生中国特色社会主义道路认同研究,梁玉春,2013
13,心理学,新疆师范大学,青年基金项目,双语经验对维吾尔族双语老年者执行功能的影响,焦江丽,2013
14,新闻学与传播学,塔里木大学,青年基金项目,中外媒体关于新疆热点事件报道的比较研究,刘福利,2013
15,新闻学与传播学,新疆师范大学,青年基金项目,哈萨克斯坦教科书中的中国形象研究,闫新艳,2013
16,艺术学,昌吉学院,规划基金项目,新疆跨地域“离散”群体回族音乐文化综合研究,董光军,2013
17,语言学,喀什师范学院,规划基金项目,基于语料库的维吾尔语言教学研究,胡传成,2013
18,语言学,新疆大学,规划基金项目,改革开放以来新疆维吾尔族语言变化变迁研究,赵平,2013
19,哲学,新疆大学,青年基金项目,“后李约瑟时代”中国科学史的方法论研究,郝新鸿,2013
20,宗教学,塔里木大学,青年基金项目,多元宗教文化背景下的新疆南疆基督教传播的现状调查研究,秀梅,2013
